Episode,Total Reward,Steps,Falls,Rollbacks
467,-5.0,400,0,395
468,-4.0,400,0,396
469,-4.0,400,0,396
470,-2.0,400,0,398
471,-2.0,400,0,398
472,-7.0,400,0,393
473,-6.0,400,0,394
474,-4.0,400,0,396
475,-2.0,400,0,398
476,-2.0,243,0,241
477,-5.0,400,0,395
478,-9.0,400,0,391
479,-3.0,400,0,397
480,-3.0,400,0,397
481,-1.0,400,0,399
482,-3.0,400,0,397
483,-4.0,400,0,396
484,-7.0,400,0,393
485,-3.0,400,0,397
486,-3.0,382,0,379
487,-2.0,219,0,217
488,-4.0,400,0,396
489,-3.0,400,0,397
490,-2.0,400,0,398
491,-2.0,400,0,398
492,-4.0,400,0,396
493,-4.0,400,0,396
494,-5.0,400,0,395
495,-6.0,400,0,394
496,-2.0,400,0,398
497,-6.0,400,0,394
498,-2.0,400,0,398
499,-3.0,220,0,217
500,-2.0,400,0,398
501,-2.0,213,0,211
502,-5.0,400,0,395
503,-3.0,400,0,397
504,-8.0,400,0,392
505,-5.0,400,0,395
506,-4.0,400,0,396
507,-4.0,323,0,319
508,-3.0,290,0,287
509,-6.0,400,0,394
510,-5.0,400,0,395
511,-6.0,400,0,394
512,-13.0,400,0,387
513,-2.0,400,0,398
514,-9.0,400,0,391
515,-3.0,400,0,397
516,-4.0,400,0,396
517,-6.0,400,0,394
518,-2.0,156,0,154
519,-3.0,400,0,397
520,-3.0,400,0,397
521,-2.0,281,0,279
522,-9.0,400,0,391
523,-5.0,400,0,395
524,-2.0,400,0,398
525,-13.0,400,0,387
526,-4.0,400,0,396
527,-3.0,400,0,397
528,-3.0,322,0,319
529,-3.0,400,0,397
530,-4.0,255,0,251
531,-3.0,257,0,254
532,-11.0,400,0,389
533,-7.0,400,0,393
534,-15.0,400,0,385
535,-7.0,400,0,393
536,-5.0,400,0,395
537,-2.0,400,0,398
538,-4.0,377,0,373
539,-6.0,400,0,394
540,-5.0,400,0,395
541,-4.0,400,0,396
542,-3.0,246,0,243
543,-3.0,400,0,397
544,-3.0,400,0,397
545,-2.0,209,0,207
546,-4.0,400,0,396
547,-6.0,400,0,394
548,-1.0,400,0,399
549,-5.0,386,0,381
