Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
333,-1475.0,614,98,1,0
334,-981.0,426,64,1,0
335,-1512.0,651,98,1,0
336,-1800.0,741,120,1,0
337,-783.0,291,57,1,0
338,-1599.0,666,106,1,0
339,-2350.0,1000,150,0,0
340,-1011.0,375,73,1,0
341,-2359.0,1000,151,0,0
342,-1845.0,768,122,1,0
343,-1291.0,538,86,1,0
344,-890.0,344,63,1,0
345,-1165.0,439,83,1,0
346,-2136.0,852,145,1,0
347,-2422.0,1000,158,0,0
348,-2216.0,869,152,1,0
349,-2503.0,1000,167,0,0
350,-837.0,318,60,1,0
351,-821.0,311,59,1,0
352,-2051.0,848,136,1,0
353,-1386.0,570,93,1,0
354,-1037.0,401,73,1,0
355,-1380.0,564,93,1,0
356,-2359.0,1000,151,0,0
357,-1657.0,688,110,1,0
358,-1080.0,390,79,1,0
359,-1153.0,526,72,1,0
360,-931.0,376,64,1,0
361,-1454.0,593,98,1,0
362,-1014.0,405,70,1,0
363,-1235.0,491,85,1,0
364,-2377.0,1000,153,0,0
365,-1605.0,654,108,1,0
366,-1064.0,464,69,1,0
367,-1092.0,411,78,1,0
368,-906.0,369,62,1,0
369,-1266.0,522,85,1,0
370,-2237.0,917,149,1,0
371,-942.0,369,66,1,0
372,-1270.0,454,93,1,0
373,-1736.0,704,117,1,0
374,-1168.0,442,83,1,0
375,-2449.0,1000,161,0,0
376,-1143.0,480,76,1,0
377,-1529.0,614,104,1,0
378,-920.0,374,63,1,0
379,-901.0,346,64,1,0
380,-981.0,354,72,1,0
381,-1068.0,396,77,1,0
382,-1521.0,615,103,1,0
383,-2239.0,892,152,1,0
384,-1152.0,426,83,1,0
385,-1700.0,722,111,1,0
386,-2287.0,931,153,1,0
387,-1187.0,506,78,1,0
388,-2537.0,992,174,1,0
389,-2263.0,916,152,1,0
390,-1407.0,645,87,1,0
391,-139.0,88,8,1,0
392,-1668.0,699,110,1,0
393,-1279.0,472,92,1,0
394,-1189.0,463,83,1,0
395,-1789.0,685,125,1,0
396,-2361.0,969,157,1,0
397,-298.0,130,21,1,0
398,-1500.0,585,104,1,0
399,-2521.0,1000,169,0,0
400,-2386.0,1000,154,0,0
401,-2296.0,940,153,1,0
402,-1789.0,739,119,1,0
403,-663.0,243,49,1,0
404,-1379.0,563,93,1,0
405,-1289.0,527,87,1,0
406,-1192.0,520,77,1,0
407,-2404.0,1000,156,0,0
408,-1675.0,643,117,1,0
409,-2575.0,1000,175,0,0
410,-2002.0,862,129,1,0
411,-2359.0,976,156,1,0
412,-1406.0,563,96,1,0
413,-930.0,393,62,1,0
414,-545.0,242,36,1,0
415,-1464.0,594,99,1,0
416,-1261.0,481,89,1,0
417,-912.0,339,66,1,0
418,-1562.0,665,102,1,0
419,-2443.0,979,165,1,0
420,-443.0,185,31,1,0
421,-1681.0,676,114,1,0
422,-739.0,292,52,1,0
423,-2341.0,1000,149,0,0
424,-1657.0,679,111,1,0
425,-1269.0,480,90,1,0
426,-1349.0,524,94,1,0
427,-2269.0,931,151,1,0
428,-2324.0,977,152,1,0
429,-1992.0,870,127,1,0
430,-1247.0,521,83,1,0
431,-1312.0,577,84,1,0
432,-1002.0,384,71,1,0
433,-2611.0,1000,179,0,0
434,-1446.0,585,98,1,0
435,-960.0,387,66,1,0
436,-2413.0,1000,157,0,0
437,-1374.0,585,90,1,0
438,-493.0,190,36,1,0
439,-2377.0,1000,153,0,0
440,-1712.0,689,116,1,0
441,-841.0,313,61,1,0
442,-773.0,308,54,1,0
443,-2260.0,1000,140,0,0
444,-1370.0,590,89,1,0
445,-947.0,365,67,1,0
446,-1275.0,495,89,1,0
447,-1848.0,753,124,1,0
448,-2458.0,1000,162,0,0
449,-1037.0,374,76,1,0
450,-1242.0,471,88,1,0
451,-2303.0,929,155,1,0
452,-1602.0,633,110,1,0
453,-2135.0,914,138,1,0
454,-1745.0,713,117,1,0
455,-1278.0,516,87,1,0
456,-1161.0,426,84,1,0
457,-1040.0,494,63,1,0
458,-2365.0,982,156,1,0
459,-1592.0,668,105,1,0
460,-238.0,115,16,1,0
461,-1513.0,634,100,1,0
462,-2288.0,887,158,1,0
463,-2296.0,1000,144,0,0
464,-2539.0,1000,171,0,0
465,-2485.0,1000,165,0,0
466,-1464.0,648,93,1,0
467,-1388.0,581,92,1,0
468,-911.0,374,62,1,0
469,-2566.0,1000,174,0,0
470,-1834.0,721,126,1,0
471,-1663.0,757,103,1,0
472,-1137.0,501,73,1,0
473,-2449.0,1000,161,0,0
