Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
450,-844.0,1000,0,0,156
451,-861.0,1000,0,0,139
452,-736.0,909,0,1,152
453,-493.0,631,0,1,117
454,-771.0,945,0,1,153
455,-229.0,307,0,1,57
456,-373.0,469,0,1,75
457,-779.0,963,0,1,163
458,-854.0,1000,0,0,146
459,-495.0,630,0,1,114
460,-350.0,448,0,1,77
461,-403.0,512,0,1,88
462,-499.0,619,0,1,99
463,-853.0,1000,0,0,147
464,-864.0,1000,0,0,136
465,-608.0,747,0,1,118
466,-399.0,523,0,1,103
467,-419.0,508,3,1,95
468,-132.0,180,0,1,27
469,-845.0,1000,0,0,155
470,-459.0,578,0,1,98
471,-733.0,899,0,1,145
472,-123.0,177,0,1,33
473,-661.0,811,0,1,129
474,-839.0,1000,0,0,161
475,-287.0,376,0,1,68
476,-807.0,974,0,1,146
477,-852.0,1000,0,0,148
478,-844.0,1000,0,0,156
479,-245.0,322,0,1,56
480,-589.0,704,0,1,94
481,-655.0,816,0,1,140
482,-299.0,379,0,1,59
483,-486.0,602,0,1,95
484,-735.0,914,0,1,158
485,-552.0,662,1,1,98
486,-557.0,682,0,1,104
487,-856.0,1000,0,0,144
488,-753.0,933,0,1,159
489,-678.0,825,0,1,126
490,-672.0,815,0,1,122
491,-330.0,419,0,1,68
492,-296.0,386,0,1,69
493,-801.0,986,0,1,164
494,-850.0,1000,0,0,150
495,-860.0,1000,0,0,140
496,-283.0,362,1,1,67
497,-848.0,1000,0,0,152
498,-152.0,214,0,1,41
499,-326.0,409,0,1,62
500,-368.0,480,0,1,91
501,-104.0,151,0,1,26
502,-325.0,416,0,1,70
503,-496.0,619,0,1,102
504,-763.0,940,0,1,156
505,-857.0,1000,0,0,143
506,-337.0,428,0,1,70
507,-854.0,1000,0,0,146
508,-213.0,284,0,1,50
509,-357.0,452,0,1,74
510,-549.0,687,0,1,117
511,-849.0,1000,0,0,151
512,-134.0,191,0,1,36
513,-415.0,535,0,1,99
514,-539.0,684,0,1,124
515,-302.0,393,0,1,70
516,-842.0,1000,0,0,158
517,-816.0,993,0,1,156
518,-771.0,934,0,1,142
519,-756.0,940,0,1,163
520,-344.0,444,0,1,79
521,-564.0,697,0,1,112
522,-829.0,998,1,1,157
523,-503.0,617,0,1,93
524,-838.0,1000,0,0,162
525,-438.0,557,0,1,98
526,-165.0,230,0,1,44
527,-678.0,846,0,1,147
528,-855.0,1000,1,0,154
529,-847.0,1000,0,0,153
530,-461.0,567,0,1,85
531,-420.0,521,0,1,80
532,-305.0,401,0,1,75
533,-853.0,1000,0,0,147
534,-214.0,284,0,1,49
535,-687.0,842,1,1,143
536,-309.0,396,0,1,66
537,-587.0,739,0,1,131
538,-402.0,514,0,1,91
539,-247.0,334,0,1,66
540,-330.0,434,0,1,83
541,-746.0,897,1,1,139
542,-154.0,215,0,1,40
543,-797.0,982,0,1,164
544,-420.0,529,0,1,88
545,-365.0,486,0,1,100
546,-275.0,367,0,1,71
547,-379.0,482,0,1,82
548,-834.0,1000,0,0,166
549,-292.0,382,0,1,69
550,-498.0,625,0,1,106
551,-211.0,288,0,1,56
552,-842.0,1000,0,0,158
553,-426.0,533,0,1,86
554,-851.0,1000,1,0,158
555,-855.0,1000,1,0,154
556,-518.0,647,0,1,108
557,-286.0,381,0,1,74
558,-860.0,1000,1,0,149
559,-424.0,533,0,1,88
560,-367.0,463,0,1,75
561,-190.0,263,0,1,52
562,-289.0,381,0,1,71
563,-833.0,1000,0,0,167
564,-393.0,496,0,1,82
565,-241.0,317,0,1,55
566,-767.0,949,0,1,161
567,-776.0,957,0,1,160
568,-807.0,987,0,1,159
569,-848.0,1000,0,0,152
570,-856.0,1000,1,0,153
571,-842.0,1000,0,0,158
572,-136.0,195,0,1,38
573,-480.0,608,0,1,107
574,-822.0,997,0,1,154
575,-301.0,381,1,1,68
576,-853.0,1000,0,0,147
577,-566.0,701,0,1,114
578,-428.0,543,0,1,94
579,-841.0,1000,0,0,159
580,-320.0,409,0,1,68
581,-866.0,1000,0,0,134
582,-849.0,1000,0,0,151
583,-637.0,783,0,1,125
584,-855.0,1000,0,0,145
585,-868.0,1000,1,0,141
586,-234.0,304,0,1,49
587,-385.0,473,0,1,67
588,-863.0,1000,1,0,146
589,-847.0,1000,0,0,153
590,-595.0,718,0,1,102
