Episode,Total Reward,Steps,Falls,Rollbacks
747,-22.0,22,0,0
748,-17.0,17,0,0
749,-20.0,20,0,0
750,-17.0,17,0,0
751,-19.0,19,0,0
752,-17.0,17,0,0
753,-15.0,15,0,0
754,-19.0,19,0,0
755,-19.0,19,0,0
756,-15.0,15,0,0
757,-16.0,16,0,0
758,-15.0,15,0,0
759,-19.0,19,0,0
760,-19.0,19,0,0
761,-16.0,16,0,0
762,-15.0,15,0,0
763,-15.0,15,0,0
764,-124.0,25,1,0
765,-21.0,21,0,0
766,-15.0,15,0,0
767,-15.0,15,0,0
768,-17.0,17,0,0
769,-17.0,17,0,0
770,-17.0,17,0,0
771,-15.0,15,0,0
772,-17.0,17,0,0
773,-17.0,17,0,0
774,-15.0,15,0,0
775,-15.0,15,0,0
776,-15.0,15,0,0
777,-17.0,17,0,0
778,-21.0,21,0,0
779,-15.0,15,0,0
780,-124.0,25,1,0
781,-17.0,17,0,0
782,-22.0,22,0,0
783,-20.0,20,0,0
784,-15.0,15,0,0
785,-17.0,17,0,0
786,-17.0,17,0,0
787,-16.0,16,0,0
788,-15.0,15,0,0
789,-19.0,19,0,0
790,-15.0,15,0,0
791,-15.0,15,0,0
792,-24.0,24,0,0
793,-21.0,21,0,0
794,-18.0,18,0,0
795,-15.0,15,0,0
796,-15.0,15,0,0
797,-15.0,15,0,0
798,-17.0,17,0,0
799,-19.0,19,0,0
800,-19.0,19,0,0
801,-122.0,23,1,0
802,-15.0,15,0,0
803,-19.0,19,0,0
804,-15.0,15,0,0
805,-15.0,15,0,0
806,-15.0,15,0,0
807,-18.0,18,0,0
808,-15.0,15,0,0
809,-17.0,17,0,0
810,-15.0,15,0,0
811,-15.0,15,0,0
812,-17.0,17,0,0
813,-21.0,21,0,0
814,-15.0,15,0,0
815,-15.0,15,0,0
816,-17.0,17,0,0
817,-21.0,21,0,0
818,-15.0,15,0,0
819,-16.0,16,0,0
820,-16.0,16,0,0
821,-118.0,19,1,0
822,-18.0,18,0,0
823,-15.0,15,0,0
824,-133.0,34,1,0
825,-19.0,19,0,0
826,-15.0,15,0,0
827,-15.0,15,0,0
828,-18.0,18,0,0
829,-19.0,19,0,0
830,-18.0,18,0,0
831,-15.0,15,0,0
832,-15.0,15,0,0
833,-20.0,20,0,0
834,-15.0,15,0,0
835,-21.0,21,0,0
836,-17.0,17,0,0
837,-23.0,23,0,0
838,-17.0,17,0,0
839,-15.0,15,0,0
840,-120.0,21,1,0
841,-19.0,19,0,0
842,-16.0,16,0,0
843,-17.0,17,0,0
844,-15.0,15,0,0
845,-17.0,17,0,0
846,-19.0,19,0,0
847,-123.0,24,1,0
848,-17.0,17,0,0
849,-15.0,15,0,0
850,-17.0,17,0,0
851,-17.0,17,0,0
852,-117.0,18,1,0
853,-16.0,16,0,0
854,-15.0,15,0,0
855,-18.0,18,0,0
856,-21.0,21,0,0
857,-17.0,17,0,0
858,-119.0,20,1,0
859,-115.0,16,1,0
860,-19.0,19,0,0
861,-17.0,17,0,0
862,-18.0,18,0,0
863,-17.0,17,0,0
864,-18.0,18,0,0
865,-123.0,24,1,0
866,-19.0,19,0,0
867,-16.0,16,0,0
868,-15.0,15,0,0
869,-22.0,22,0,0
870,-16.0,16,0,0
871,-15.0,15,0,0
872,-15.0,15,0,0
873,-15.0,15,0,0
874,-17.0,17,0,0
875,-15.0,15,0,0
876,-15.0,15,0,0
877,-16.0,16,0,0
878,-16.0,16,0,0
879,-17.0,17,0,0
880,-17.0,17,0,0
881,-117.0,18,1,0
882,-15.0,15,0,0
883,-15.0,15,0,0
884,-15.0,15,0,0
885,-15.0,15,0,0
886,-17.0,17,0,0
887,-17.0,17,0,0
888,-19.0,19,0,0
889,-19.0,19,0,0
890,-15.0,15,0,0
891,-19.0,19,0,0
892,-17.0,17,0,0
893,-17.0,17,0,0
894,-17.0,17,0,0
895,-117.0,18,1,0
896,-15.0,15,0,0
897,-18.0,18,0,0
898,-15.0,15,0,0
899,-17.0,17,0,0
900,-19.0,19,0,0
901,-17.0,17,0,0
902,-15.0,15,0,0
903,-15.0,15,0,0
904,-17.0,17,0,0
905,-119.0,20,1,0
906,-15.0,15,0,0
907,-15.0,15,0,0
908,-18.0,18,0,0
909,-15.0,15,0,0
910,-15.0,15,0,0
911,-121.0,22,1,0
912,-15.0,15,0,0
913,-18.0,18,0,0
914,-21.0,21,0,0
915,-15.0,15,0,0
916,-19.0,19,0,0
917,-17.0,17,0,0
918,-15.0,15,0,0
919,-15.0,15,0,0
920,-22.0,22,0,0
921,-16.0,16,0,0
922,-19.0,19,0,0
923,-17.0,17,0,0
924,-16.0,16,0,0
925,-16.0,16,0,0
926,-15.0,15,0,0
927,-16.0,16,0,0
928,-15.0,15,0,0
929,-17.0,17,0,0
930,-15.0,15,0,0
931,-15.0,15,0,0
932,-115.0,16,1,0
933,-15.0,15,0,0
934,-19.0,19,0,0
935,-15.0,15,0,0
936,-226.0,28,2,0
937,-15.0,15,0,0
938,-325.0,28,3,0
939,-17.0,17,0,0
940,-118.0,19,1,0
941,-15.0,15,0,0
942,-15.0,15,0,0
943,-23.0,23,0,0
944,-19.0,19,0,0
945,-15.0,15,0,0
946,-17.0,17,0,0
947,-15.0,15,0,0
948,-15.0,15,0,0
949,-121.0,22,1,0
950,-23.0,23,0,0
951,-15.0,15,0,0
952,-15.0,15,0,0
953,-17.0,17,0,0
954,-21.0,21,0,0
955,-15.0,15,0,0
956,-16.0,16,0,0
957,-19.0,19,0,0
958,-17.0,17,0,0
959,-118.0,19,1,0
960,-117.0,18,1,0
961,-17.0,17,0,0
962,-15.0,15,0,0
963,-15.0,15,0,0
964,-15.0,15,0,0
965,-20.0,20,0,0
966,-15.0,15,0,0
967,-16.0,16,0,0
968,-117.0,18,1,0
969,-17.0,17,0,0
970,-123.0,24,1,0
971,-15.0,15,0,0
972,-15.0,15,0,0
973,-21.0,21,0,0
974,-15.0,15,0,0
975,-19.0,19,0,0
976,-15.0,15,0,0
977,-15.0,15,0,0
978,-17.0,17,0,0
979,-120.0,21,1,0
980,-19.0,19,0,0
981,-15.0,15,0,0
982,-15.0,15,0,0
983,-17.0,17,0,0
984,-17.0,17,0,0
985,-15.0,15,0,0
986,-19.0,19,0,0
987,-20.0,20,0,0
988,-19.0,19,0,0
989,-15.0,15,0,0
990,-19.0,19,0,0
991,-15.0,15,0,0
992,-15.0,15,0,0
993,-15.0,15,0,0
994,-19.0,19,0,0
995,-17.0,17,0,0
996,-17.0,17,0,0
997,-15.0,15,0,0
998,-23.0,23,0,0
999,-20.0,20,0,0
