Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
894,-681.0,858,0,1
895,-545.0,684,0,1
896,-660.0,823,0,1
897,-809.0,986,0,1
898,-508.0,638,0,1
899,-528.0,656,0,1
900,-502.0,594,1,1
901,-483.0,601,0,1
902,-466.0,594,0,1
903,-584.0,701,0,1
904,-312.0,417,0,1
905,-430.0,549,0,1
906,-526.0,653,0,1
907,-337.0,425,0,1
908,-165.0,225,0,1
909,-479.0,607,0,1
910,-441.0,541,1,1
911,-830.0,1000,0,0
912,-844.0,1000,0,0
913,-372.0,481,0,1
914,-367.0,460,0,1
915,-446.0,561,0,1
916,-845.0,1000,0,0
917,-279.0,378,0,1
918,-590.0,729,0,1
919,-843.0,1000,0,0
920,-524.0,634,0,1
921,-550.0,680,0,1
922,-220.0,305,0,1
923,-839.0,1000,0,0
924,-630.0,803,0,1
925,-349.0,431,0,1
926,-441.0,547,0,1
927,-549.0,673,0,1
928,-780.0,955,0,1
929,-836.0,1000,0,0
930,-417.0,525,0,1
931,-853.0,1000,0,0
932,-704.0,863,0,1
933,-691.0,826,0,1
934,-317.0,401,0,1
935,-450.0,579,0,1
936,-407.0,515,0,1
937,-388.0,501,0,1
938,-560.0,687,0,1
939,-262.0,352,0,1
940,-326.0,409,0,1
941,-370.0,463,0,1
942,-411.0,518,0,1
943,-510.0,637,0,1
944,-448.0,566,0,1
945,-832.0,1000,0,0
946,-340.0,443,0,1
947,-340.0,428,0,1
948,-690.0,841,0,1
949,-225.0,301,0,1
950,-791.0,967,0,1
951,-314.0,399,1,1
952,-767.0,934,0,1
953,-856.0,1000,0,0
954,-242.0,329,0,1
955,-788.0,969,0,1
956,-848.0,1000,0,0
957,-745.0,928,0,1
958,-383.0,479,0,1
959,-836.0,1000,0,0
960,-861.0,1000,0,0
961,-461.0,587,0,1
962,-410.0,530,0,1
963,-789.0,945,0,1
964,-276.0,366,0,1
965,-379.0,493,0,1
966,-784.0,950,0,1
967,-451.0,552,1,1
968,-288.0,373,0,1
969,-851.0,1000,0,0
970,-432.0,537,0,1
971,-424.0,510,0,1
972,-504.0,626,0,1
973,-359.0,445,0,1
974,-838.0,1000,0,0
975,-380.0,482,0,1
976,-260.0,343,0,1
977,-616.0,745,0,1
978,-126.0,180,0,1
979,-837.0,1000,0,0
980,-504.0,632,0,1
981,-641.0,792,0,1
982,-728.0,905,0,1
983,-752.0,925,0,1
984,-749.0,911,0,1
985,-358.0,465,0,1
986,-333.0,434,0,1
987,-506.0,620,0,1
988,-273.0,367,0,1
989,-632.0,776,0,1
990,-768.0,921,0,1
991,-321.0,415,0,1
992,-374.0,486,0,1
993,-845.0,1000,0,0
994,-847.0,1000,0,0
995,-800.0,979,0,1
996,-831.0,1000,0,0
997,-459.0,580,0,1
998,-325.0,427,0,1
999,-331.0,427,0,1
1000,-763.0,944,0,1
1001,-844.0,1000,0,0
1002,-837.0,1000,0,0
1003,-817.0,989,0,1
1004,-529.0,665,0,1
1005,-833.0,1000,0,0
1006,-165.0,225,0,1
