Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
387,-63.0,75,1,1
388,1.0,20,0,1
389,12.0,9,0,1
390,-26.0,29,2,1
391,15.0,6,0,1
392,-53.0,65,1,1
393,-35.0,47,1,1
394,0.0,12,1,1
395,-76.0,70,3,1
396,-112.0,79,6,1
397,-34.0,55,0,1
398,-1.0,22,0,1
399,-19.0,31,1,1
400,-45.0,48,2,1
401,-155.0,113,7,1
402,-141.0,108,6,1
403,14.0,7,0,1
404,-7.0,19,1,1
405,-10.0,31,0,1
406,-81.0,75,3,1
407,-36.0,39,2,1
408,-80.0,65,4,1
409,-42.0,45,2,1
410,-84.0,87,2,1
411,-7.0,28,0,1
412,-25.0,37,1,1
413,4.0,8,1,1
414,-10.0,22,1,1
415,-190.0,148,7,1
416,10.0,11,0,1
417,2.0,10,1,1
418,-40.0,34,3,1
419,2.0,19,0,1
420,-6.0,27,0,1
421,-36.0,30,3,1
422,-73.0,67,3,1
423,-13.0,25,1,1
424,-278.0,164,15,1
425,-91.0,94,2,1
426,-37.0,31,3,1
427,-114.0,81,6,1
428,-84.0,69,4,1
429,10.0,11,0,1
430,-151.0,109,7,1
431,-72.0,66,3,1
432,-27.0,30,2,1
433,-191.0,113,11,1
434,-70.0,46,5,1
435,-47.0,59,1,1
436,-91.0,103,1,1
437,8.0,13,0,1
438,-86.0,98,1,1
439,-34.0,37,2,1
440,-60.0,63,2,1
441,12.0,9,0,1
442,-134.0,101,6,1
443,-22.0,25,2,1
444,9.0,12,0,1
445,-28.0,40,1,1
446,-138.0,87,8,1
447,-47.0,59,1,1
448,-43.0,46,2,1
449,-118.0,103,4,1
450,-70.0,55,4,1
451,-49.0,61,1,1
452,-11.0,14,2,1
453,-199.0,148,8,1
454,-16.0,28,1,1
455,4.0,17,0,1
456,4.0,17,0,1
457,-42.0,54,1,1
458,-78.0,63,4,1
459,-14.0,35,0,1
460,-43.0,46,2,1
461,-20.0,23,2,1
462,-2.0,23,0,1
463,-72.0,84,1,1
464,8.0,13,0,1
465,-133.0,100,6,1
466,6.0,15,0,1
467,-52.0,55,2,1
468,1.0,11,1,1
469,-98.0,101,2,1
470,12.0,9,0,1
471,5.0,16,0,1
472,0.0,12,1,1
473,-10.0,22,1,1
474,8.0,13,0,1
475,-40.0,52,1,1
476,-58.0,52,3,1
477,-47.0,50,2,1
478,-33.0,36,2,1
479,-37.0,40,2,1
480,-33.0,36,2,1
481,-72.0,57,4,1
482,-46.0,58,1,1
483,-56.0,50,3,1
484,-72.0,75,2,1
485,-19.0,31,1,1
486,-53.0,38,4,1
487,9.0,12,0,1
488,-138.0,96,7,1
489,-21.0,33,1,1
490,-9.0,21,1,1
491,-79.0,73,3,1
492,-172.0,139,6,1
493,-60.0,54,3,1
494,-87.0,72,4,1
495,-53.0,47,3,1
496,-36.0,48,1,1
497,-13.0,34,0,1
498,0.0,12,1,1
499,-33.0,36,2,1
500,-81.0,75,3,1
501,13.0,8,0,1
502,13.0,8,0,1
503,-42.0,36,3,1
504,-96.0,72,5,1
505,-66.0,69,2,1
506,-3.0,15,1,1
507,-74.0,50,5,1
508,5.0,16,0,1
509,13.0,8,0,1
510,-17.0,29,1,1
511,-252.0,183,10,1
512,14.0,7,0,1
513,-46.0,49,2,1
514,-72.0,57,4,1
515,-1.0,22,0,1
516,-27.0,30,2,1
517,-2.0,23,0,1
518,-67.0,70,2,1
519,-120.0,123,2,1
520,-35.0,56,0,1
521,-2.0,14,1,1
522,-43.0,55,1,1
523,12.0,9,0,1
524,3.0,18,0,1
525,-6.0,27,0,1
526,12.0,9,0,1
527,9.0,12,0,1
528,-21.0,42,0,1
529,-149.0,116,6,1
530,6.0,15,0,1
531,-111.0,87,5,1
532,-62.0,65,2,1
533,-1.0,13,1,1
534,11.0,10,0,1
535,-59.0,80,0,1
536,14.0,7,0,1
537,2.0,19,0,1
538,10.0,11,0,1
539,-25.0,37,1,1
540,-50.0,71,0,1
541,-62.0,47,4,1
542,1.0,20,0,1
543,-6.0,27,0,1
544,-53.0,38,4,1
545,-2.0,23,0,1
546,-52.0,55,2,1
547,-28.0,31,2,1
548,-10.0,13,2,1
549,-59.0,80,0,1
550,-82.0,76,3,1
551,1.0,20,0,1
552,-31.0,34,2,1
553,-85.0,52,6,1
554,11.0,10,0,1
555,-25.0,28,2,1
556,-64.0,40,5,1
557,-37.0,49,1,1
558,-66.0,33,6,1
559,2.0,10,1,1
560,-23.0,26,2,1
561,-23.0,35,1,1
562,-101.0,77,5,1
563,-18.0,21,2,1
564,11.0,10,0,1
565,0.0,21,0,1
566,-18.0,30,1,1
567,-69.0,54,4,1
568,10.0,11,0,1
569,3.0,18,0,1
570,-107.0,83,5,1
571,-24.0,36,1,1
572,12.0,9,0,1
573,-118.0,103,4,1
574,-3.0,15,1,1
575,-32.0,44,1,1
576,-75.0,69,3,1
577,-24.0,36,1,1
578,-11.0,32,0,1
579,-49.0,61,1,1
580,14.0,7,0,1
581,-55.0,58,2,1
582,-29.0,32,2,1
583,-49.0,52,2,1
584,-87.0,81,3,1
585,-93.0,60,6,1
586,11.0,10,0,1
587,8.0,13,0,1
588,9.0,12,0,1
589,-5.0,26,0,1
590,0.0,12,1,1
591,-14.0,26,1,1
592,-41.0,44,2,1
593,4.0,17,0,1
594,-15.0,36,0,1
595,-86.0,62,5,1
596,-9.0,30,0,1
597,11.0,10,0,1
598,-41.0,44,2,1
599,-22.0,34,1,1
600,-160.0,127,6,1
601,11.0,10,0,1
602,0.0,21,0,1
603,-25.0,28,2,1
604,-63.0,48,4,1
605,-11.0,23,1,1
606,-51.0,36,4,1
607,9.0,12,0,1
608,10.0,11,0,1
609,-13.0,34,0,1
610,-193.0,160,6,1
611,-15.0,18,2,1
612,-18.0,21,2,1
613,-27.0,39,1,1
614,-39.0,51,1,1
615,11.0,10,0,1
616,8.0,13,0,1
617,-38.0,32,3,1
618,-32.0,26,3,1
619,-1.0,22,0,1
620,-9.0,21,1,1
621,9.0,12,0,1
622,-223.0,154,10,1
623,14.0,7,0,1
624,-17.0,29,1,1
625,-18.0,30,1,1
626,-50.0,44,3,1
627,-17.0,29,1,1
628,-15.0,27,1,1
629,-53.0,65,1,1
630,-32.0,35,2,1
631,3.0,18,0,1
632,-34.0,46,1,1
633,-15.0,18,2,1
634,-95.0,80,4,1
635,-15.0,27,1,1
636,10.0,11,0,1
637,-48.0,42,3,1
638,-26.0,20,3,1
639,6.0,15,0,1
640,7.0,14,0,1
641,-8.0,29,0,1
642,11.0,10,0,1
643,5.0,16,0,1
644,-46.0,49,2,1
645,-72.0,66,3,1
646,-3.0,15,1,1
647,10.0,11,0,1
648,-47.0,50,2,1
649,4.0,17,0,1
650,-140.0,89,8,1
651,-11.0,23,1,1
652,8.0,13,0,1
653,-113.0,107,3,1
654,-6.0,27,0,1
655,-4.0,16,1,1
656,8.0,13,0,1
657,-108.0,84,5,1
658,13.0,8,0,1
659,-15.0,27,1,1
660,-97.0,73,5,1
661,-42.0,45,2,1
662,9.0,12,0,1
663,-45.0,39,3,1
664,-7.0,10,2,1
665,-6.0,18,1,1
666,-9.0,21,1,1
667,-66.0,60,3,1
668,9.0,12,0,1
669,-16.0,19,2,1
670,-55.0,49,3,1
671,7.0,14,0,1
672,-2.0,14,1,1
673,12.0,9,0,1
674,-25.0,46,0,1
675,-93.0,69,5,1
676,-9.0,21,1,1
677,-79.0,55,5,1
678,-25.0,37,1,1
679,9.0,12,0,1
680,-11.0,23,1,1
681,11.0,10,0,1
682,13.0,8,0,1
683,-39.0,51,1,1
684,3.0,9,1,1
685,-60.0,54,3,1
686,-1.0,13,1,1
687,7.0,14,0,1
688,11.0,10,0,1
689,-4.0,16,1,1
690,-2.0,23,0,1
691,-73.0,58,4,1
692,-9.0,21,1,1
693,2.0,19,0,1
694,-6.0,18,1,1
695,-20.0,32,1,1
696,-25.0,46,0,1
697,-12.0,24,1,1
698,-53.0,47,3,1
699,-68.0,62,3,1
700,5.0,16,0,1
701,-79.0,64,4,1
702,-59.0,62,2,1
703,10.0,11,0,1
704,5.0,16,0,1
705,-3.0,24,0,1
706,-13.0,25,1,1
707,-5.0,26,0,1
708,-54.0,48,3,1
709,-25.0,28,2,1
710,5.0,16,0,1
711,9.0,12,0,1
712,0.0,12,1,1
713,-24.0,36,1,1
714,10.0,11,0,1
715,4.0,17,0,1
716,-2.0,23,0,1
717,10.0,11,0,1
718,0.0,21,0,1
719,-127.0,112,4,1
720,-39.0,60,0,1
721,0.0,12,1,1
722,2.0,19,0,1
723,-3.0,15,1,1
724,8.0,13,0,1
725,9.0,12,0,1
726,9.0,12,0,1
727,7.0,14,0,1
728,-20.0,32,1,1
729,7.0,14,0,1
730,-16.0,28,1,1
731,-7.0,10,2,1
732,11.0,10,0,1
733,-24.0,36,1,1
734,-4.0,25,0,1
735,10.0,11,0,1
736,1.0,20,0,1
737,-30.0,33,2,1
738,6.0,15,0,1
739,11.0,10,0,1
740,5.0,16,0,1
741,11.0,10,0,1
742,-89.0,101,1,1
743,-5.0,17,1,1
744,12.0,9,0,1
745,0.0,12,1,1
746,3.0,18,0,1
747,11.0,10,0,1
748,-87.0,81,3,1
749,12.0,9,0,1
750,-16.0,19,2,1
751,-14.0,17,2,1
752,4.0,17,0,1
753,-7.0,19,1,1
754,-6.0,18,1,1
755,-61.0,55,3,1
756,5.0,16,0,1
757,-40.0,34,3,1
758,-13.0,34,0,1
759,4.0,17,0,1
760,-114.0,99,4,1
761,2.0,10,1,1
762,-48.0,42,3,1
763,4.0,8,1,1
764,-5.0,26,0,1
765,-21.0,33,1,1
766,-29.0,50,0,1
767,-122.0,89,6,1
768,2.0,19,0,1
769,-65.0,77,1,1
770,-24.0,27,2,1
771,-21.0,24,2,1
772,2.0,19,0,1
773,-4.0,25,0,1
774,3.0,9,1,1
775,9.0,12,0,1
776,4.0,17,0,1
777,-40.0,52,1,1
