Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
381,-349.0,436,0,1
382,-646.0,809,0,1
383,-737.0,902,0,1
384,-394.0,508,0,1
385,-430.0,537,0,1
386,-850.0,1000,0,0
387,-238.0,320,0,1
388,-872.0,1000,2,0
389,-197.0,266,0,1
390,-449.0,551,0,1
391,-508.0,634,0,1
392,-848.0,1000,0,0
393,-409.0,521,0,1
394,-356.0,451,0,1
395,-790.0,973,0,1
396,-405.0,526,0,1
397,-258.0,353,0,1
398,-191.0,261,0,1
399,-843.0,1000,0,0
400,-855.0,1000,0,0
401,-857.0,1000,0,0
402,-846.0,1000,0,0
403,-461.0,566,0,1
404,-403.0,514,0,1
405,-326.0,424,0,1
406,-450.0,558,0,1
407,-627.0,758,0,1
408,-660.0,802,0,1
409,-787.0,949,0,1
410,-851.0,1000,0,0
411,-483.0,597,0,1
412,-377.0,494,0,1
413,-339.0,421,0,1
414,-260.0,349,0,1
415,-302.0,405,0,1
416,-847.0,1000,0,0
417,-585.0,726,0,1
418,-493.0,620,0,1
419,-857.0,1000,0,0
420,-151.0,201,0,1
421,-382.0,467,0,1
422,-231.0,314,0,1
423,-673.0,819,0,1
424,-761.0,938,0,1
425,-548.0,683,0,1
426,-684.0,810,0,1
427,-841.0,1000,0,0
428,-664.0,825,0,1
429,-781.0,950,0,1
430,-417.0,520,0,1
431,-256.0,344,0,1
432,-284.0,379,0,1
433,-369.0,474,0,1
434,-786.0,966,0,1
435,-277.0,362,0,1
436,-860.0,1000,0,0
437,-313.0,414,0,1
438,-271.0,354,0,1
439,-846.0,1000,0,0
440,-860.0,1000,0,0
441,-236.0,313,0,1
442,-239.0,321,0,1
443,-791.0,962,0,1
444,-281.0,378,0,1
445,-219.0,291,0,1
446,-272.0,346,0,1
447,-596.0,739,0,1
448,-791.0,968,0,1
449,-277.0,359,0,1
450,-383.0,496,0,1
451,-834.0,1000,0,0
452,-867.0,1000,0,0
453,-566.0,719,0,1
454,-853.0,1000,0,0
455,-395.0,490,0,1
456,-855.0,1000,0,0
457,-479.0,589,0,1
458,-859.0,1000,0,0
459,-848.0,1000,0,0
460,-267.0,348,0,1
461,-538.0,667,0,1
462,-853.0,1000,0,0
463,-779.0,960,0,1
464,-852.0,1000,0,0
465,-837.0,1000,0,0
466,-389.0,510,0,1
467,-379.0,485,0,1
468,-353.0,441,0,1
469,-841.0,1000,0,0
470,-514.0,633,0,1
471,-858.0,1000,0,0
472,-346.0,434,0,1
473,-710.0,879,0,1
474,-793.0,945,0,1
475,-250.0,326,0,1
476,-461.0,578,0,1
477,-502.0,627,0,1
478,-472.0,602,0,1
479,-297.0,383,0,1
480,-770.0,947,0,1
481,-498.0,630,0,1
482,-286.0,375,0,1
483,-838.0,1000,0,0
484,-837.0,1000,0,0
485,-305.0,389,0,1
486,-434.0,550,0,1
487,-859.0,1000,0,0
488,-787.0,964,0,1
489,-842.0,1000,0,0
490,-558.0,703,0,1
491,-790.0,969,0,1
492,-310.0,404,0,1
493,-653.0,808,0,1
494,-723.0,890,0,1
495,-856.0,1000,0,0
496,-399.0,520,0,1
497,-452.0,563,0,1
498,-410.0,518,0,1
499,-347.0,442,0,1
500,-462.0,573,0,1
501,-125.0,172,0,1
502,-136.0,198,0,1
503,-844.0,1000,0,0
504,-853.0,1000,0,0
505,-542.0,674,0,1
506,-838.0,1000,0,0
507,-299.0,383,0,1
508,-341.0,438,0,1
509,-286.0,378,0,1
510,-568.0,701,0,1
511,-867.0,1000,0,0
512,-369.0,460,0,1
513,-359.0,472,0,1
514,-617.0,760,0,1
515,-452.0,547,0,1
516,-773.0,948,0,1
517,-504.0,627,0,1
518,-860.0,1000,0,0
519,-847.0,1000,0,0
520,-414.0,503,0,1
521,-635.0,777,0,1
522,-852.0,1000,0,0
523,-440.0,554,0,1
524,-389.0,505,0,1
525,-313.0,399,0,1
526,-166.0,227,0,1
527,-282.0,368,0,1
528,-841.0,1000,0,0
529,-771.0,946,0,1
530,-509.0,623,0,1
531,-422.0,517,0,1
532,-828.0,1000,0,0
533,-225.0,301,0,1
534,-241.0,323,0,1
535,-844.0,1000,0,0
536,-124.0,179,0,1
537,-835.0,1000,0,0
538,-337.0,448,0,1
539,-281.0,374,0,1
540,-278.0,365,0,1
541,-584.0,713,0,1
542,-128.0,186,0,1
543,-720.0,890,0,1
544,-785.0,947,0,1
545,-751.0,898,0,1
546,-833.0,1000,0,0
547,-482.0,591,1,1
548,-482.0,624,0,1
549,-432.0,544,0,1
550,-791.0,972,0,1
551,-340.0,452,0,1
552,-784.0,966,0,1
553,-227.0,301,0,1
554,-529.0,659,0,1
555,-508.0,630,0,1
556,-840.0,1000,0,0
557,-315.0,410,0,1
558,-845.0,1000,0,0
559,-116.0,169,0,1
560,-450.0,560,0,1
561,-223.0,308,0,1
562,-514.0,633,0,1
563,-656.0,812,0,1
564,-501.0,612,0,1
565,-456.0,567,0,1
566,-840.0,1000,0,0
567,-838.0,1000,0,0
568,-854.0,1000,0,0
569,-846.0,1000,0,0
570,-566.0,692,0,1
571,-753.0,910,0,1
572,-231.0,307,0,1
573,-486.0,609,0,1
574,-776.0,958,0,1
575,-267.0,348,0,1
576,-588.0,723,0,1
577,-847.0,1000,0,0
578,-284.0,368,0,1
579,-850.0,1000,0,0
580,-383.0,466,0,1
581,-836.0,1000,0,0
582,-790.0,969,0,1
583,-846.0,1000,0,0
584,-635.0,790,0,1
585,-820.0,1000,0,0
586,-199.0,261,0,1
587,-379.0,471,0,1
588,-330.0,421,0,1
589,-325.0,437,0,1
590,-357.0,446,0,1
591,-539.0,647,0,1
592,-514.0,642,0,1
593,-817.0,991,0,1
594,-486.0,616,0,1
595,-415.0,503,0,1
596,-803.0,985,0,1
597,-433.0,541,0,1
598,-406.0,521,0,1
599,-400.0,518,0,1
600,-685.0,851,0,1
601,-156.0,218,0,1
602,-858.0,1000,0,0
603,-858.0,1000,0,0
604,-847.0,1000,0,0
605,-644.0,794,0,1
606,-851.0,1000,0,0
607,-189.0,251,0,1
608,-442.0,565,0,1
609,-863.0,1000,0,0
610,-440.0,556,0,1
611,-246.0,321,0,1
612,-812.0,994,0,1
613,-594.0,725,0,1
614,-842.0,1000,0,0
615,-836.0,1000,0,0
616,-526.0,645,0,1
617,-862.0,1000,0,0
618,-610.0,767,0,1
619,-755.0,930,0,1
620,-749.0,897,0,1
621,-685.0,861,0,1
622,-855.0,1000,0,0
623,-388.0,484,0,1
624,-831.0,1000,0,0
625,-839.0,1000,0,0
626,-794.0,975,0,1
627,-839.0,1000,0,0
628,-854.0,1000,0,0
629,-475.0,600,0,1
630,-358.0,455,0,1
631,-845.0,1000,0,0
632,-847.0,1000,0,0
633,-455.0,584,0,1
634,-433.0,540,0,1
635,-236.0,313,0,1
636,-847.0,1000,0,0
637,-520.0,642,0,1
638,-847.0,1000,0,0
639,-845.0,1000,0,0
640,-854.0,1000,0,0
641,-672.0,852,0,1
642,-400.0,503,0,1
643,-688.0,867,0,1
644,-464.0,596,0,1
645,-747.0,922,0,1
646,-622.0,766,0,1
647,-850.0,1000,0,0
648,-425.0,544,0,1
649,-844.0,1000,0,0
650,-389.0,489,0,1
651,-418.0,532,0,1
652,-300.0,383,0,1
653,-752.0,928,0,1
654,-290.0,374,0,1
655,-329.0,430,0,1
656,-571.0,709,0,1
657,-838.0,1000,0,0
658,-72.0,112,0,1
659,-811.0,980,0,1
660,-857.0,1000,0,0
661,-323.0,426,0,1
662,-818.0,1000,0,0
663,-843.0,1000,0,0
664,-358.0,451,0,1
665,-853.0,1000,0,0
666,-317.0,407,0,1
667,-469.0,596,0,1
668,-328.0,427,0,1
669,-386.0,472,0,1
670,-544.0,680,0,1
671,-839.0,1000,0,0
672,-248.0,333,0,1
673,-133.0,188,0,1
674,-806.0,978,0,1
675,-769.0,951,0,1
676,-692.0,860,0,1
677,-478.0,583,0,1
678,-857.0,1000,0,0
679,-854.0,1000,0,0
680,-844.0,1000,0,0
681,-284.0,369,0,1
682,-288.0,391,0,1
683,-260.0,346,0,1
684,-601.0,728,0,1
685,-753.0,926,0,1
686,-231.0,303,0,1
687,-281.0,376,0,1
688,-508.0,621,0,1
689,-788.0,968,0,1
690,-138.0,202,0,1
691,-262.0,342,0,1
692,-848.0,1000,0,0
693,-418.0,514,0,1
694,-855.0,1000,0,0
695,-851.0,1000,0,0
696,-486.0,590,0,1
697,-846.0,1000,0,0
698,-835.0,1000,0,0
699,-357.0,467,0,1
700,-250.0,336,0,1
701,-561.0,698,0,1
702,-679.0,833,0,1
703,-279.0,378,0,1
704,-396.0,508,0,1
705,-773.0,928,0,1
706,-289.0,380,0,1
707,-839.0,1000,0,0
708,-494.0,608,0,1
709,-854.0,1000,0,0
710,-851.0,1000,0,0
711,-771.0,956,0,1
712,-854.0,1000,0,0
713,-845.0,1000,0,0
714,-391.0,492,0,1
715,-800.0,969,0,1
716,-453.0,584,0,1
717,-353.0,452,0,1
718,-692.0,866,0,1
719,-426.0,533,0,1
720,-267.0,356,0,1
721,-744.0,922,0,1
722,-858.0,1000,0,0
723,-305.0,407,0,1
724,-852.0,1000,0,0
725,-853.0,1000,0,0
726,-589.0,739,0,1
727,-654.0,799,0,1
728,-542.0,693,0,1
729,-315.0,410,0,1
730,-523.0,617,0,1
731,-436.0,531,0,1
732,-528.0,647,0,1
733,-594.0,748,0,1
734,-277.0,363,0,1
735,-631.0,781,0,1
736,-855.0,1000,0,0
737,-388.0,497,0,1
738,-501.0,613,0,1
739,-675.0,817,0,1
740,-314.0,402,0,1
741,-496.0,602,0,1
742,-646.0,803,0,1
743,-234.0,312,0,1
744,-411.0,522,0,1
745,-556.0,685,0,1
746,-382.0,493,0,1
747,-312.0,423,0,1
748,-302.0,402,0,1
749,-155.0,216,0,1
750,-764.0,948,0,1
751,-815.0,984,0,1
752,-346.0,449,0,1
753,-362.0,476,0,1
754,-853.0,1000,0,0
755,-377.0,478,0,1
756,-383.0,495,0,1
757,-219.0,299,0,1
758,-428.0,544,0,1
759,-826.0,1000,0,0
760,-839.0,1000,0,0
761,-24.0,51,0,1
762,-116.0,159,0,1
763,-464.0,564,0,1
764,-369.0,467,0,1
765,-787.0,985,0,1
766,-868.0,1000,0,0
767,-473.0,580,0,1
768,-278.0,368,0,1
769,-512.0,651,0,1
770,-822.0,1000,0,1
771,-426.0,539,0,1
772,-213.0,286,0,1
773,-245.0,338,0,1
774,-361.0,457,0,1
775,-481.0,599,0,1
776,-393.0,504,0,1
777,-845.0,1000,0,0
778,-501.0,618,0,1
779,-415.0,520,0,1
780,-519.0,642,0,1
781,-846.0,1000,0,0
782,-421.0,534,0,1
783,-437.0,553,0,1
784,-831.0,1000,0,0
785,-311.0,398,0,1
786,-799.0,992,0,1
787,-835.0,1000,0,0
788,-841.0,1000,0,0
789,-850.0,1000,0,0
790,-508.0,626,0,1
791,-715.0,889,0,1
792,-846.0,1000,0,0
793,-194.0,255,0,1
794,-440.0,548,0,1
795,-432.0,532,0,1
796,-835.0,1000,0,0
797,-429.0,537,0,1
798,-363.0,462,0,1
799,-296.0,386,0,1
800,-455.0,556,0,1
801,-471.0,599,0,1
802,-844.0,1000,0,0
803,-838.0,1000,0,0
804,-245.0,322,0,1
805,-837.0,1000,0,0
806,-407.0,518,0,1
807,-253.0,340,0,1
808,-200.0,266,0,1
809,-438.0,549,0,1
810,-751.0,925,0,1
811,-263.0,339,0,1
812,-550.0,652,0,1
813,-449.0,564,0,1
814,-321.0,420,0,1
815,-810.0,996,0,1
816,-840.0,1000,0,0
817,-553.0,686,0,1
