Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
390,-1367.0,524,96,1,0
391,-872.0,326,63,1,0
392,-1689.0,702,112,1,0
393,-2290.0,907,156,1,0
394,-1270.0,517,86,1,0
395,-1380.0,528,97,1,0
396,-1013.0,422,68,1,0
397,-1832.0,755,122,1,0
398,-977.0,359,71,1,0
399,-1422.0,516,103,1,0
400,-2413.0,1000,157,0,0
401,-2233.0,904,150,1,0
402,-2050.0,757,146,1,0
403,-934.0,316,71,1,0
404,-1397.0,545,97,1,0
405,-1189.0,508,78,1,0
406,-1280.0,554,83,1,0
407,-985.0,376,70,1,0
408,-2593.0,1000,177,0,0
409,-2377.0,1000,153,0,0
410,-2368.0,1000,152,0,0
411,-2350.0,1000,150,0,0
412,-1496.0,599,102,1,0
413,-1103.0,458,74,1,0
414,-2476.0,1000,164,0,0
415,-2038.0,808,139,1,0
416,-1588.0,646,107,1,0
417,-2314.0,1000,146,0,0
418,-2332.0,1000,148,0,0
419,-2157.0,864,146,1,0
420,-598.0,241,42,1,0
421,-2323.0,976,152,1,0
422,-1053.0,426,72,1,0
423,-2377.0,1000,153,0,0
424,-1475.0,560,104,1,0
425,-924.0,351,66,1,0
426,-1464.0,585,100,1,0
427,-2476.0,1000,164,0,0
428,-2336.0,962,155,1,0
429,-2386.0,1000,154,0,0
430,-1288.0,562,83,1,0
431,-1033.0,388,74,1,0
432,-1042.0,388,75,1,0
433,-962.0,389,66,1,0
434,-2292.0,891,158,1,0
435,-934.0,379,64,1,0
436,-2167.0,874,146,1,0
437,-1464.0,603,98,1,0
438,-1057.0,421,73,1,0
439,-2375.0,956,160,1,0
440,-2227.0,997,139,1,0
441,-792.0,300,57,1,0
442,-1260.0,516,85,1,0
443,-2440.0,1000,160,0,0
444,-1701.0,705,113,1,0
445,-949.0,376,66,1,0
446,-1185.0,468,82,1,0
447,-2368.0,1000,152,0,0
448,-2086.0,874,137,1,0
449,-2045.0,833,137,1,0
450,-2323.0,1000,147,0,0
451,-1580.0,629,108,1,0
452,-1788.0,756,117,1,0
453,-2449.0,1000,161,0,0
454,-2314.0,1000,146,0,0
455,-1285.0,523,87,1,0
456,-807.0,324,56,1,0
457,-1278.0,480,91,1,0
458,-2073.0,825,141,1,0
459,-1770.0,720,119,1,0
460,-1088.0,479,70,1,0
461,-1355.0,566,90,1,0
462,-2232.0,912,149,1,0
463,-2345.0,962,156,1,0
464,-1942.0,784,131,1,0
465,-2422.0,1000,158,0,0
466,-1041.0,396,74,1,0
467,-2512.0,1000,168,0,0
468,-527.0,206,38,1,0
469,-773.0,317,53,1,0
470,-1413.0,570,96,1,0
471,-2395.0,1000,155,0,0
472,-564.0,216,41,1,0
473,-2287.0,1000,143,0,0
474,-1212.0,459,86,1,0
475,-981.0,363,71,1,0
476,-2264.0,917,152,1,0
477,-2395.0,1000,155,0,0
478,-2331.0,948,156,1,0
479,-838.0,310,61,1,0
480,-1322.0,533,90,1,0
481,-2421.0,966,164,1,0
482,-1245.0,492,86,1,0
483,-2566.0,1000,174,0,0
484,-2314.0,1000,146,0,0
485,-1125.0,462,76,1,0
486,-1517.0,575,107,1,0
487,-2287.0,1000,143,0,0
488,-2395.0,1000,155,0,0
489,-1541.0,635,103,1,0
490,-2251.0,1000,139,0,0
491,-1050.0,423,72,1,0
492,-1197.0,471,83,1,0
493,-2395.0,1000,155,0,0
494,-1695.0,654,118,1,0
495,-2277.0,930,152,1,0
496,-991.0,427,65,1,0
497,-2404.0,1000,156,0,0
498,-1268.0,506,87,1,0
499,-1199.0,536,76,1,0
500,-1257.0,468,90,1,0
501,-1388.0,617,88,1,0
502,-1001.0,428,66,1,0
503,-2467.0,1000,163,0,0
504,-2359.0,1000,151,0,0
505,-2287.0,1000,143,0,0
506,-1367.0,515,97,1,0
507,-2323.0,1000,147,0,0
508,-817.0,298,60,1,0
509,-665.0,254,48,1,0
510,-1806.0,756,119,1,0
511,-1139.0,440,80,1,0
512,-492.0,198,35,1,0
513,-1316.0,482,95,1,0
514,-2283.0,981,147,1,0
515,-1190.0,446,85,1,0
516,-2275.0,910,154,1,0
517,-2365.0,955,159,1,0
518,-2431.0,1000,159,0,0
519,-1396.0,526,99,1,0
520,-905.0,323,67,1,0
521,-1773.0,705,121,1,0
522,-2395.0,1000,155,0,0
523,-1559.0,590,110,1,0
524,-1529.0,560,110,1,0
525,-1480.0,574,103,1,0
526,-648.0,255,46,1,0
527,-2386.0,1000,154,0,0
528,-1612.0,634,111,1,0
529,-1512.0,588,105,1,0
530,-2150.0,875,144,1,0
531,-951.0,396,64,1,0
532,-888.0,360,61,1,0
533,-820.0,328,57,1,0
534,-740.0,293,52,1,0
535,-1289.0,491,91,1,0
536,-1007.0,443,65,1,0
537,-1207.0,472,84,1,0
538,-899.0,371,61,1,0
539,-987.0,378,70,1,0
540,-1180.0,499,78,1,0
541,-2304.0,903,158,1,0
542,-581.0,224,42,1,0
543,-2421.0,975,163,1,0
544,-1137.0,429,81,1,0
545,-2323.0,1000,147,0,0
546,-884.0,365,60,1,0
547,-1315.0,535,89,1,0
548,-1534.0,628,103,1,0
549,-708.0,270,51,1,0
550,-1630.0,679,108,1,0
551,-970.0,379,68,1,0
552,-2404.0,1000,156,0,0
553,-822.0,339,56,1,0
554,-2431.0,1000,159,0,0
555,-2085.0,846,140,1,0
556,-2242.0,1000,138,0,0
557,-995.0,404,68,1,0
558,-2449.0,1000,161,0,0
559,-519.0,225,35,1,0
560,-1319.0,557,87,1,0
561,-1229.0,512,82,1,0
562,-1332.0,489,96,1,0
