Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
458,-856.0,1000,0,0,144
459,-834.0,1000,0,0,166
460,-202.0,277,0,1,54
461,-508.0,621,0,1,92
462,-531.0,655,0,1,103
463,-635.0,791,0,1,135
464,-614.0,778,0,1,143
465,-486.0,601,0,1,94
466,-396.0,519,0,1,102
467,-798.0,999,0,1,180
468,-318.0,413,0,1,74
469,-484.0,591,0,1,86
470,-601.0,739,1,1,126
471,-682.0,854,0,1,151
472,-391.0,494,0,1,82
473,-839.0,1000,0,0,161
474,-509.0,621,1,1,100
475,-403.0,504,0,1,80
476,-568.0,707,0,1,118
477,-425.0,529,0,1,83
478,-637.0,781,0,1,123
479,-341.0,445,0,1,83
480,-507.0,588,2,1,78
481,-856.0,1000,0,0,144
482,-202.0,272,0,1,49
483,-348.0,454,0,1,85
484,-683.0,866,0,1,162
485,-443.0,554,0,1,90
486,-599.0,759,0,1,139
487,-562.0,674,1,1,100
488,-840.0,1000,0,0,160
489,-529.0,652,0,1,102
490,-847.0,1000,0,0,153
491,-331.0,420,0,1,68
492,-453.0,561,0,1,87
493,-335.0,435,0,1,79
494,-716.0,893,0,1,156
495,-735.0,881,0,1,125
496,-294.0,382,0,1,67
497,-834.0,1000,0,0,166
498,-422.0,525,0,1,82
499,-496.0,616,0,1,99
500,-847.0,1000,0,0,153
501,-402.0,495,0,1,72
502,-42.0,68,0,1,5
503,-834.0,1000,0,0,166
504,-598.0,737,0,1,118
505,-863.0,1000,0,0,137
506,-410.0,494,0,1,63
507,-474.0,586,0,1,91
508,-314.0,403,0,1,68
509,-118.0,173,0,1,34
510,-846.0,1000,1,0,163
511,-829.0,1000,0,0,171
512,-349.0,437,0,1,67
513,-458.0,563,0,1,84
514,-434.0,547,0,1,92
515,-338.0,437,0,1,78
516,-593.0,727,0,1,113
517,-510.0,634,0,1,103
518,-815.0,980,0,1,144
519,-670.0,822,0,1,131
520,-508.0,618,0,1,89
521,-859.0,1000,0,0,141
522,-691.0,868,0,1,156
523,-105.0,145,0,1,19
524,-392.0,517,0,1,104
525,-487.0,605,0,1,97
526,-195.0,268,0,1,52
527,-835.0,1000,0,0,165
528,-457.0,563,0,1,85
529,-766.0,937,0,1,150
530,-297.0,392,0,1,74
531,-458.0,552,2,1,91
532,-319.0,413,0,1,73
533,-391.0,492,0,1,80
534,-355.0,441,0,1,65
535,-842.0,1000,0,0,158
536,-225.0,303,0,1,57
537,-610.0,753,0,1,122
538,-291.0,372,0,1,60
539,-280.0,369,0,1,68
540,-258.0,341,0,1,62
541,-546.0,673,0,1,106
542,-138.0,192,0,1,33
543,-496.0,623,0,1,106
544,-760.0,933,0,1,152
545,-853.0,1000,1,0,156
546,-391.0,479,0,1,67
547,-406.0,508,0,1,81
548,-443.0,564,0,1,100
549,-388.0,497,0,1,88
550,-549.0,679,0,1,109
551,-356.0,444,0,1,67
552,-795.0,974,0,1,158
