Episode,Total Reward,Steps,Falls
500,-109.0,109,0,True
501,-398.0,200,2,True
502,-123.0,123,0,True
503,-110.0,110,0,True
504,-83.0,83,0,True
505,-125.0,125,0,True
506,-76.0,76,0,True
507,-106.0,106,0,True
508,-177.0,177,0,True
509,-1018.0,226,8,True
510,-101.0,101,0,True
511,-1574.0,584,10,True
512,-386.0,188,2,True
513,-83.0,83,0,True
514,-67.0,67,0,True
515,-55.0,55,0,True
516,-97.0,97,0,True
517,-574.0,178,4,True
518,-66.0,66,0,True
519,-1888.0,700,12,False
520,-139.0,139,0,True
521,-325.0,127,2,True
522,-117.0,117,0,True
523,-79.0,79,0,True
524,-107.0,107,0,True
525,-142.0,142,0,True
526,-96.0,96,0,True
527,-141.0,141,0,True
528,-1984.0,598,14,True
529,-120.0,120,0,True
530,-51.0,51,0,True
531,-1657.0,568,11,True
532,-80.0,80,0,True
533,-95.0,95,0,True
534,-391.0,193,2,True
535,-113.0,113,0,True
536,-1789.0,700,11,False
537,-121.0,121,0,True
538,-1407.0,417,10,True
539,-1569.0,579,10,True
540,-50.0,50,0,True
541,-1754.0,665,11,True
542,-376.0,178,2,True
543,-1613.0,524,11,True
544,-163.0,163,0,True
545,-1104.0,411,7,True
546,-726.0,231,5,True
547,-101.0,101,0,True
548,-134.0,134,0,True
549,-1875.0,588,13,True
550,-101.0,101,0,True
551,-123.0,123,0,True
552,-336.0,138,2,True
553,-84.0,84,0,True
554,-364.0,166,2,True
555,-529.0,232,3,True
556,-101.0,101,0,True
557,-113.0,113,0,True
558,-88.0,88,0,True
559,-104.0,104,0,True
560,-2185.0,700,15,False
561,-373.0,175,2,True
562,-117.0,117,0,True
563,-2284.0,700,16,False
564,-87.0,87,0,True
565,-1885.0,499,14,True
566,-99.0,99,0,True
567,-80.0,80,0,True
568,-1415.0,524,9,True
569,-70.0,70,0,True
570,-112.0,112,0,True
571,-104.0,104,0,True
572,-93.0,93,0,True
573,-1888.0,700,12,False
574,-57.0,57,0,True
575,-346.0,148,2,True
576,-202.0,103,1,True
577,-137.0,137,0,True
578,-184.0,85,1,True
579,-92.0,92,0,True
580,-89.0,89,0,True
581,-46.0,46,0,True
582,-490.0,193,3,True
583,-757.0,262,5,True
584,-93.0,93,0,True
585,-88.0,88,0,True
586,-54.0,54,0,True
587,-94.0,94,0,True
588,-46.0,46,0,True
589,-351.0,153,2,True
590,-121.0,121,0,True
591,-85.0,85,0,True
592,-101.0,101,0,True
593,-60.0,60,0,True
594,-134.0,134,0,True
595,-127.0,127,0,True
596,-149.0,149,0,True
597,-107.0,107,0,True
598,-174.0,75,1,True
599,-128.0,128,0,True
600,-217.0,118,1,True
601,-775.0,280,5,True
602,-721.0,226,5,True
603,-1232.0,341,9,True
604,-2001.0,615,14,True
605,-142.0,142,0,True
606,-193.0,94,1,True
607,-135.0,135,0,True
608,-95.0,95,0,True
609,-136.0,136,0,True
610,-571.0,175,4,True
611,-1655.0,566,11,True
612,-103.0,103,0,True
613,-390.0,192,2,True
614,-79.0,79,0,True
615,-92.0,92,0,True
616,-845.0,251,6,True
617,-92.0,92,0,True
618,-107.0,107,0,True
619,-395.0,197,2,True
620,-1835.0,647,12,True
621,-106.0,106,0,True
622,-74.0,74,0,True
623,-78.0,78,0,True
624,-643.0,247,4,True
625,-164.0,164,0,True
626,-69.0,69,0,True
627,-164.0,164,0,True
628,-859.0,265,6,True
629,-134.0,134,0,True
630,-97.0,97,0,True
631,-113.0,113,0,True
632,-135.0,135,0,True
633,-488.0,191,3,True
634,-102.0,102,0,True
635,-172.0,172,0,True
636,-37.0,37,0,True
637,-114.0,114,0,True
638,-88.0,88,0,True
639,-2284.0,700,16,False
640,-57.0,57,0,True
641,-87.0,87,0,True
642,-123.0,123,0,True
643,-101.0,101,0,True
644,-76.0,76,0,True
645,-102.0,102,0,True
646,-378.0,180,2,True
647,-396.0,198,2,True
648,-50.0,50,0,True
649,-209.0,110,1,True
650,-1863.0,576,13,True
651,-593.0,197,4,True
652,-137.0,137,0,True
653,-87.0,87,0,True
654,-104.0,104,0,True
655,-81.0,81,0,True
656,-111.0,111,0,True
657,-121.0,121,0,True
658,-56.0,56,0,True
659,-76.0,76,0,True
660,-94.0,94,0,True
661,-109.0,109,0,True
662,-130.0,130,0,True
663,-95.0,95,0,True
664,-1256.0,365,9,True
665,-82.0,82,0,True
666,-30.0,30,0,True
667,-116.0,116,0,True
668,-2086.0,700,14,False
669,-1987.0,700,13,False
670,-1410.0,420,10,True
671,-130.0,130,0,True
672,-509.0,212,3,True
673,-1041.0,348,7,True
674,-376.0,178,2,True
675,-347.0,149,2,True
676,-71.0,71,0,True
677,-1789.0,700,11,False
678,-88.0,88,0,True
679,-904.0,310,6,True
680,-568.0,172,4,True
681,-1256.0,365,9,True
682,-64.0,64,0,True
683,-127.0,127,0,True
684,-68.0,68,0,True
685,-504.0,207,3,True
686,-66.0,66,0,True
687,-173.0,173,0,True
688,-133.0,133,0,True
689,-158.0,59,1,True
690,-107.0,107,0,True
691,-83.0,83,0,True
692,-92.0,92,0,True
693,-353.0,155,2,True
694,-122.0,122,0,True
695,-164.0,164,0,True
696,-1987.0,700,13,False
697,-85.0,85,0,True
698,-205.0,106,1,True
699,-60.0,60,0,True
700,-397.0,199,2,True
701,-117.0,117,0,True
702,-66.0,66,0,True
703,-76.0,76,0,True
704,-395.0,197,2,True
705,-282.0,183,1,True
706,-48.0,48,0,True
707,-103.0,103,0,True
708,-105.0,105,0,True
709,-53.0,53,0,True
710,-145.0,145,0,True
711,-139.0,139,0,True
712,-106.0,106,0,True
713,-1865.0,578,13,True
714,-118.0,118,0,True
715,-78.0,78,0,True
716,-158.0,158,0,True
717,-333.0,135,2,True
718,-118.0,118,0,True
719,-361.0,163,2,True
720,-1862.0,674,12,True
721,-81.0,81,0,True
722,-55.0,55,0,True
723,-141.0,141,0,True
724,-372.0,174,2,True
725,-164.0,164,0,True
726,-55.0,55,0,True
727,-88.0,88,0,True
728,-152.0,152,0,True
729,-137.0,137,0,True
730,-765.0,270,5,True
731,-105.0,105,0,True
732,-904.0,310,6,True
733,-155.0,155,0,True
734,-53.0,53,0,True
735,-2185.0,700,15,False
736,-505.0,208,3,True
737,-603.0,207,4,True
738,-2482.0,700,18,False
739,-48.0,48,0,True
740,-379.0,181,2,True
741,-88.0,88,0,True
742,-56.0,56,0,True
743,-210.0,111,1,True
744,-369.0,171,2,True
745,-169.0,169,0,True
746,-105.0,105,0,True
747,-96.0,96,0,True
748,-162.0,162,0,True
749,-128.0,128,0,True
750,-82.0,82,0,True
751,-374.0,176,2,True
752,-68.0,68,0,True
753,-146.0,146,0,True
754,-125.0,125,0,True
755,-695.0,200,5,True
756,-580.0,184,4,True
757,-126.0,126,0,True
758,-77.0,77,0,True
759,-463.0,166,3,True
760,-149.0,149,0,True
761,-86.0,86,0,True
762,-2284.0,700,16,False
763,-124.0,124,0,True
764,-490.0,193,3,True
765,-1987.0,700,13,False
766,-120.0,120,0,True
767,-93.0,93,0,True
768,-87.0,87,0,True
769,-170.0,170,0,True
770,-114.0,114,0,True
771,-98.0,98,0,True
772,-79.0,79,0,True
773,-145.0,145,0,True
774,-88.0,88,0,True
775,-130.0,130,0,True
776,-62.0,62,0,True
777,-364.0,166,2,True
778,-84.0,84,0,True
779,-2086.0,700,14,False
780,-121.0,121,0,True
781,-97.0,97,0,True
782,-104.0,104,0,True
783,-135.0,135,0,True
784,-1760.0,572,12,True
785,-52.0,52,0,True
786,-2383.0,700,17,False
787,-56.0,56,0,True
788,-108.0,108,0,True
789,-74.0,74,0,True
790,-74.0,74,0,True
791,-83.0,83,0,True
792,-112.0,112,0,True
793,-167.0,68,1,True
794,-54.0,54,0,True
795,-120.0,120,0,True
796,-598.0,202,4,True
797,-126.0,126,0,True
798,-118.0,118,0,True
799,-56.0,56,0,True
800,-455.0,158,3,True
801,-138.0,138,0,True
802,-112.0,112,0,True
803,-133.0,133,0,True
804,-1888.0,700,12,False
805,-90.0,90,0,True
806,-104.0,104,0,True
807,-80.0,80,0,True
808,-96.0,96,0,True
809,-52.0,52,0,True
810,-98.0,98,0,True
811,-1823.0,536,13,True
812,-119.0,119,0,True
813,-91.0,91,0,True
814,-162.0,63,1,True
815,-358.0,160,2,True
816,-137.0,137,0,True
817,-91.0,91,0,True
818,-1031.0,338,7,True
819,-74.0,74,0,True
820,-80.0,80,0,True
821,-114.0,114,0,True
822,-1331.0,440,9,True
823,-116.0,116,0,True
824,-147.0,147,0,True
825,-1641.0,453,12,True
826,-349.0,151,2,True
827,-106.0,106,0,True
828,-80.0,80,0,True
829,-396.0,198,2,True
830,-157.0,157,0,True
831,-1028.0,335,7,True
832,-83.0,83,0,True
833,-99.0,99,0,True
834,-348.0,150,2,True
835,-46.0,46,0,True
836,-70.0,70,0,True
837,-113.0,113,0,True
838,-61.0,61,0,True
839,-1306.0,415,9,True
840,-2086.0,700,14,False
841,-348.0,150,2,True
842,-703.0,208,5,True
843,-2284.0,700,16,False
844,-169.0,169,0,True
845,-79.0,79,0,True
846,-109.0,109,0,True
847,-1749.0,660,11,True
848,-231.0,132,1,True
849,-94.0,94,0,True
850,-2086.0,700,14,False
851,-75.0,75,0,True
852,-84.0,84,0,True
853,-98.0,98,0,True
854,-519.0,222,3,True
855,-116.0,116,0,True
856,-385.0,187,2,True
857,-88.0,88,0,True
858,-128.0,128,0,True
859,-121.0,121,0,True
860,-2284.0,700,16,False
861,-153.0,153,0,True
862,-132.0,132,0,True
863,-115.0,115,0,True
864,-1584.0,495,11,True
865,-477.0,180,3,True
866,-64.0,64,0,True
867,-100.0,100,0,True
868,-193.0,94,1,True
869,-162.0,162,0,True
870,-152.0,152,0,True
871,-1834.0,646,12,True
