Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
492,-498.0,611,0,1,92,True
493,-485.0,605,0,1,99,True
494,-747.0,931,0,1,163,True
495,-346.0,459,0,1,92,True
496,-302.0,398,0,1,75,True
497,-678.0,834,0,1,135,True
498,-291.0,376,0,1,64,True
499,-489.0,608,0,1,98,True
500,-479.0,589,0,1,89,True
501,-315.0,411,0,1,75,True
502,-285.0,375,0,1,69,True
503,-595.0,721,0,1,105,True
504,-1006.0,1245,0,1,218,True
505,-560.0,689,0,1,108,True
506,-526.0,636,0,1,89,True
507,-602.0,719,0,1,96,True
508,-378.0,478,0,1,79,True
509,-148.0,209,0,1,40,True
510,-796.0,966,1,1,158,True
511,-1230.0,1474,0,1,223,True
512,-27.0,55,0,1,7,True
513,-635.0,798,0,1,142,True
514,-749.0,910,0,1,140,True
515,-222.0,296,0,1,53,True
516,-424.0,535,0,1,90,True
517,-669.0,783,0,1,93,True
518,-564.0,701,0,1,116,True
519,-935.0,1119,0,1,163,True
520,-374.0,468,0,1,73,True
521,-767.0,940,1,1,161,True
522,-751.0,933,0,1,161,True
523,-375.0,479,0,1,83,True
524,-394.0,496,0,1,81,True
525,-1101.0,1342,0,1,220,True
526,-194.0,252,0,1,37,True
527,-569.0,697,0,1,107,True
528,-553.0,683,0,1,109,True
529,-854.0,1035,0,1,160,True
530,-395.0,509,0,1,93,True
531,-415.0,526,0,1,90,True
532,-313.0,399,0,1,65,True
533,-295.0,378,0,1,62,True
534,-306.0,388,0,1,61,True
535,-1284.0,1500,0,0,216,False
536,-222.0,300,0,1,57,True
537,-421.0,532,0,1,90,True
538,-270.0,350,0,1,59,True
539,-436.0,538,0,1,81,True
540,-261.0,340,0,1,58,True
541,-743.0,915,0,1,151,True
542,-180.0,250,0,1,49,True
543,-814.0,1002,0,1,167,True
544,-361.0,472,0,1,90,True
545,-809.0,999,0,1,169,True
546,-424.0,549,0,1,104,True
547,-330.0,435,0,1,84,True
548,-356.0,453,0,1,76,True
549,-314.0,419,0,1,84,True
550,-1178.0,1411,1,1,221,True
551,-305.0,385,0,1,59,True
552,-813.0,1000,0,1,166,True
553,-393.0,503,0,1,89,True
554,-752.0,931,0,1,158,True
555,-917.0,1107,0,1,169,True
556,-625.0,761,0,1,115,True
557,-305.0,410,0,1,84,True
558,-1144.0,1335,0,1,170,True
559,-167.0,224,0,1,36,True
560,-323.0,413,0,1,69,True
561,-241.0,321,0,1,59,True
562,-250.0,328,0,1,57,True
563,-475.0,589,0,1,93,True
564,-473.0,566,1,1,81,True
565,-283.0,378,0,1,74,True
566,-960.0,1147,1,1,175,True
567,-823.0,1004,0,1,160,True
568,-937.0,1125,0,1,167,True
569,-694.0,841,1,1,135,True
570,-848.0,1030,0,1,161,True
571,-1085.0,1322,0,1,216,True
572,-151.0,219,0,1,47,True
573,-444.0,548,0,1,83,True
574,-664.0,833,0,1,148,True
575,-477.0,601,0,1,103,True
576,-699.0,882,0,1,162,True
577,-586.0,724,0,1,117,True
578,-322.0,415,0,1,72,True
579,-785.0,954,0,1,148,True
580,-357.0,459,0,1,81,True
581,-834.0,1007,0,1,152,True
582,-745.0,909,0,1,143,True
583,-1133.0,1371,0,1,217,True
584,-565.0,694,0,1,108,True
585,-780.0,963,0,1,162,True
586,-196.0,272,0,1,55,True
587,-471.0,590,0,1,98,True
588,-865.0,1035,1,1,158,True
589,-343.0,440,0,1,76,True
590,-450.0,534,0,1,63,True
591,-338.0,440,0,1,81,True
592,-516.0,633,0,1,96,True
593,-647.0,788,0,1,120,True
594,-203.0,276,0,1,52,True
595,-441.0,538,0,1,76,True
596,-380.0,492,0,1,91,True
597,-208.0,278,0,1,49,True
598,-311.0,397,0,1,65,True
599,-666.0,823,0,1,136,True
600,-619.0,775,0,1,135,True
601,-824.0,1009,0,1,164,True
602,-550.0,684,0,1,113,True
603,-504.0,635,0,1,110,True
604,-769.0,939,0,1,149,True
605,-449.0,552,0,1,82,True
606,-725.0,901,0,1,155,True
607,-308.0,391,0,1,62,True
608,-514.0,612,0,1,77,True
609,-633.0,800,0,1,146,True
610,-429.0,543,0,1,93,True
611,-415.0,513,0,1,77,True
612,-875.0,1071,1,1,184,True
613,-1298.0,1500,0,0,202,False
614,-427.0,563,0,1,115,True
615,-1018.0,1205,0,1,166,True
616,-834.0,1015,0,1,160,True
617,-750.0,913,1,1,151,True
618,-830.0,1007,0,1,156,True
619,-473.0,586,0,1,92,True
620,-629.0,780,0,1,130,True
621,-658.0,820,0,1,141,True
622,-640.0,792,0,1,131,True
623,-419.0,512,0,1,72,True
624,-562.0,695,0,1,112,True
625,-958.0,1149,0,1,170,True
626,-681.0,852,0,1,150,True
627,-371.0,467,0,1,75,True
628,-769.0,953,0,1,163,True
629,-488.0,611,0,1,102,True
630,-333.0,426,0,1,72,True
631,-428.0,552,0,1,103,True
632,-788.0,965,1,1,165,True
633,-358.0,473,0,1,94,True
634,-1169.0,1402,0,1,212,True
635,-295.0,368,0,1,52,True
636,-466.0,569,0,1,82,True
637,-429.0,540,0,1,90,True
638,-604.0,732,0,1,107,True
639,-849.0,1032,0,1,162,True
640,-737.0,896,0,1,138,True
641,-533.0,678,0,1,124,True
642,-370.0,472,0,1,81,True
643,-428.0,550,0,1,101,True
644,-934.0,1114,0,1,159,True
645,-933.0,1121,0,1,167,True
646,-407.0,521,0,1,93,True
647,-740.0,904,0,1,143,True
648,-1016.0,1198,1,1,170,True
649,-385.0,485,0,1,79,True
650,-713.0,890,0,1,156,True
651,-536.0,661,0,1,104,True
652,-309.0,395,0,1,65,True
653,-669.0,838,0,1,148,True
654,-266.0,346,0,1,59,True
655,-461.0,574,0,1,92,True
656,-714.0,858,0,1,123,True
657,-415.0,526,0,1,90,True
658,-375.0,468,0,1,72,True
659,-722.0,897,0,1,154,True
660,-907.0,1098,0,1,170,True
661,-185.0,259,0,1,53,True
662,-391.0,507,0,1,95,True
663,-933.0,1161,0,1,207,True
664,-204.0,273,0,1,48,True
665,-488.0,604,0,1,95,True
666,-246.0,321,0,1,54,True
667,-716.0,864,0,1,127,True
668,-360.0,448,0,1,67,True
669,-595.0,704,0,1,88,True
670,-607.0,739,0,1,111,True
671,-700.0,858,0,1,137,True
672,-338.0,443,0,1,84,True
673,-471.0,577,0,1,85,True
674,-1127.0,1365,0,1,217,True
675,-456.0,571,0,1,94,True
676,-543.0,646,0,1,82,True
677,-319.0,428,0,1,88,True
678,-888.0,1070,0,1,161,True
679,-445.0,562,0,1,96,True
680,-926.0,1103,1,1,165,True
681,-428.0,545,0,1,96,True
682,-588.0,718,0,1,109,True
683,-202.0,274,0,1,51,True
684,-403.0,504,0,1,80,True
685,-389.0,481,1,1,80,True
686,-461.0,577,0,1,95,True
687,-261.0,334,0,1,52,True
688,-514.0,644,0,1,109,True
689,-543.0,633,1,1,78,True
690,-364.0,457,0,1,72,True
691,-265.0,347,0,1,61,True
692,-1258.0,1452,0,1,173,True
693,-385.0,489,0,1,83,True
694,-320.0,416,0,1,75,True
695,-915.0,1098,0,1,162,True
696,-1070.0,1278,0,1,187,True
697,-1268.0,1500,0,0,232,False
698,-770.0,923,0,1,132,True
699,-494.0,622,0,1,107,True
700,-279.0,369,0,1,69,True
701,-660.0,819,0,1,138,True
702,-726.0,863,0,1,116,True
703,-554.0,684,0,1,109,True
704,-603.0,737,0,1,113,True
705,-534.0,657,0,1,102,True
706,-388.0,483,0,1,74,True
707,-583.0,711,0,1,107,True
708,-1014.0,1222,1,1,196,True
709,-548.0,670,0,1,101,True
710,-762.0,938,0,1,155,True
711,-831.0,1006,1,1,163,True
712,-518.0,644,0,1,105,True
713,-530.0,662,0,1,111,True
714,-167.0,234,0,1,46,True
715,-461.0,585,0,1,103,True
716,-433.0,552,0,1,98,True
717,-772.0,949,1,1,165,True
718,-687.0,828,1,1,129,True
719,-371.0,452,0,1,60,True
720,-293.0,395,0,1,81,True
721,-682.0,836,0,1,133,True
722,-504.0,649,0,1,124,True
723,-515.0,631,0,1,95,True
724,-948.0,1130,1,1,170,True
725,-276.0,368,0,1,71,True
726,-891.0,1076,0,1,164,True
727,-1062.0,1251,0,1,168,True
728,-729.0,900,0,1,150,True
729,-299.0,392,0,1,72,True
730,-523.0,634,0,1,90,True
731,-149.0,210,0,1,40,True
732,-580.0,683,1,1,91,True
733,-1159.0,1362,0,1,182,True
734,-367.0,458,0,1,70,True
735,-506.0,631,1,1,113,True
736,-843.0,1018,0,1,154,True
737,-352.0,456,0,1,83,True
738,-351.0,451,0,1,79,True
739,-476.0,588,0,1,91,True
740,-328.0,422,0,1,73,True
741,-284.0,369,0,1,64,True
742,-274.0,351,0,1,56,True
743,-343.0,436,0,1,72,True
744,-332.0,430,0,1,77,True
745,-649.0,814,0,1,144,True
746,-785.0,986,0,1,180,True
747,-249.0,331,0,1,61,True
748,-458.0,569,0,1,90,True
749,-966.0,1150,0,1,163,True
750,-747.0,905,0,1,137,True
751,-726.0,890,0,1,143,True
752,-903.0,1092,0,1,168,True
753,-224.0,300,0,1,55,True
754,-860.0,1043,0,1,162,True
755,-463.0,580,0,1,96,True
756,-433.0,534,0,1,80,True
757,-338.0,429,0,1,70,True
758,-473.0,587,0,1,93,True
759,-223.0,298,0,1,54,True
760,-814.0,983,1,1,157,True
761,-346.0,444,0,1,77,True
762,-382.0,478,0,1,75,True
763,-343.0,447,0,1,83,True
764,-527.0,647,0,1,99,True
765,-614.0,752,0,1,117,True
766,-734.0,905,0,1,150,True
767,-401.0,507,0,1,85,True
768,-522.0,650,0,1,107,True
769,-556.0,693,0,1,116,True
770,-479.0,597,1,1,106,True
771,-472.0,583,0,1,90,True
772,-286.0,373,0,1,66,True
773,-265.0,359,0,1,73,True
774,-408.0,518,0,1,89,True
775,-323.0,409,0,1,65,True
776,-317.0,409,0,1,71,True
777,-902.0,1094,0,1,171,True
778,-781.0,957,0,1,155,True
779,-435.0,542,0,1,86,True
780,-789.0,970,0,1,160,True
781,-839.0,1026,0,1,166,True
782,-404.0,516,0,1,91,True
783,-792.0,967,0,1,154,True
784,-951.0,1142,0,1,170,True
785,-972.0,1166,0,1,173,True
786,-885.0,1058,0,1,152,True
787,-720.0,901,0,1,160,True
788,-438.0,557,0,1,98,True
789,-964.0,1159,0,1,174,True
