Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
401,-1332.0,498,95,1,True
402,-1342.0,517,94,1,True
403,-587.0,230,42,1,True
404,-1041.0,468,66,1,True
405,-2312.0,956,153,1,True
406,-1279.0,535,85,1,True
407,-1942.0,775,132,1,True
408,-1642.0,682,109,1,True
409,-1797.0,738,120,1,True
410,-2627.0,1055,177,1,True
411,-2046.0,852,135,1,True
412,-1325.0,581,85,1,True
413,-319.0,142,22,1,True
414,-912.0,384,61,1,True
415,-1207.0,454,86,1,True
416,-2141.0,839,147,1,True
417,-1469.0,599,99,1,True
418,-1339.0,541,91,1,True
419,-2248.0,883,154,1,True
420,-1280.0,545,84,1,True
421,-1480.0,673,92,1,True
422,-833.0,296,62,1,True
423,-1188.0,498,79,1,True
424,-2182.0,844,151,1,True
425,-1318.0,520,91,1,True
426,-912.0,393,60,1,True
427,-2623.0,1069,175,1,True
428,-2586.0,1131,164,1,True
429,-2537.0,1100,162,1,True
430,-966.0,429,62,1,True
431,-1313.0,578,84,1,True
432,-979.0,388,68,1,True
433,-1838.0,734,125,1,True
434,-1878.0,792,123,1,True
435,-712.0,310,47,1,True
436,-1732.0,727,114,1,True
437,-1381.0,583,91,1,True
438,-1013.0,395,71,1,True
439,-1603.0,652,108,1,True
440,-2624.0,1043,178,1,True
441,-1190.0,419,88,1,True
442,-1296.0,498,91,1,True
443,-2137.0,853,145,1,True
444,-2498.0,1007,168,1,True
445,-1464.0,594,99,1,True
446,-1097.0,443,75,1,True
447,-1551.0,654,102,1,True
448,-1490.0,584,103,1,True
449,-1382.0,539,96,1,True
450,-2593.0,1066,172,1,True
451,-1586.0,671,104,1,True
452,-1945.0,805,129,1,True
453,-1325.0,518,92,1,True
454,-1918.0,724,135,1,True
455,-1394.0,533,98,1,True
456,-1221.0,477,85,1,True
457,-1597.0,673,105,1,True
458,-1592.0,686,103,1,True
459,-1537.0,631,103,1,True
460,-1041.0,423,71,1,True
461,-2036.0,797,140,1,True
462,-1704.0,654,119,1,True
463,-2510.0,1001,170,1,True
464,-1915.0,748,132,1,True
465,-2302.0,982,149,1,True
466,-1618.0,667,108,1,True
467,-1343.0,554,90,1,True
468,-1402.0,631,88,1,True
469,-2224.0,886,151,1,True
470,-1365.0,630,84,1,True
471,-1623.0,699,105,1,True
472,-1190.0,464,83,1,True
473,-1991.0,833,131,1,True
474,-2232.0,867,154,1,True
475,-1236.0,528,81,1,True
476,-2230.0,919,148,1,True
477,-1714.0,727,112,1,True
478,-1492.0,568,105,1,True
479,-1108.0,409,80,1,True
480,-1560.0,609,108,1,True
481,-2400.0,963,162,1,True
482,-724.0,277,52,1,True
483,-991.0,481,59,1,True
484,-2433.0,1041,157,1,True
485,-1724.0,737,112,1,True
486,-2616.0,1080,173,1,True
487,-2465.0,1037,161,1,True
488,-1694.0,698,113,1,True
489,-1639.0,616,116,1,True
490,-2343.0,933,159,1,True
491,-907.0,361,63,1,True
492,-1249.0,469,89,1,True
493,-1768.0,736,117,1,True
494,-1082.0,464,71,1,True
495,-2310.0,972,151,1,True
496,-761.0,287,55,1,True
497,-3163.0,1213,219,1,True
498,-560.0,221,40,1,True
499,-961.0,388,66,1,True
500,-1376.0,560,93,1,True
501,-635.0,260,44,1,True
502,-1160.0,452,81,1,True
503,-2450.0,1058,157,1,True
504,-2006.0,866,129,1,True
505,-1716.0,711,114,1,True
506,-1416.0,564,97,1,True
507,-995.0,359,73,1,True
508,-1036.0,454,67,1,True
509,-793.0,310,56,1,True
510,-2199.0,933,143,1,True
511,-1717.0,748,110,1,True
512,-1028.0,401,72,1,True
513,-1686.0,717,110,1,True
514,-1655.0,713,107,1,True
515,-1129.0,430,80,1,True
516,-2574.0,1119,164,1,True
517,-2613.0,1140,166,1,True
518,-1700.0,695,114,1,True
519,-1429.0,595,95,1,True
520,-1225.0,517,81,1,True
521,-2871.0,1272,180,1,True
522,-2182.0,871,148,1,True
523,-1153.0,418,84,1,True
524,-1005.0,405,69,1,True
525,-1444.0,583,98,1,True
526,-710.0,281,50,1,True
527,-1998.0,795,136,1,True
528,-1512.0,606,103,1,True
529,-2385.0,930,164,1,True
530,-1590.0,657,106,1,True
531,-1145.0,437,81,1,True
532,-1504.0,634,99,1,True
533,-946.0,400,63,1,True
534,-873.0,336,62,1,True
535,-2256.0,963,146,1,True
536,-626.0,269,42,1,True
537,-1543.0,664,100,1,True
538,-1136.0,464,77,1,True
539,-3481.0,1432,230,1,True
540,-832.0,322,59,1,True
541,-1895.0,755,129,1,True
542,-416.0,167,30,1,True
543,-2312.0,920,157,1,True
544,-2400.0,954,163,1,True
545,-1258.0,514,85,1,True
546,-1177.0,460,82,1,True
547,-1255.0,547,81,1,True
548,-1292.0,458,95,1,True
549,-1176.0,468,81,1,True
550,-1411.0,550,98,1,True
551,-921.0,357,65,1,True
552,-1282.0,565,82,1,True
553,-1278.0,525,86,1,True
554,-1466.0,605,98,1,True
555,-2510.0,1091,160,1,True
556,-2429.0,992,162,1,True
557,-991.0,355,73,1,True
558,-2112.0,819,146,1,True
559,-1720.0,697,116,1,True
560,-1241.0,515,83,1,True
561,-1055.0,428,72,1,True
562,-1120.0,403,82,1,True
563,-3018.0,1275,196,1,True
564,-1546.0,613,106,1,True
565,-2482.0,982,169,1,True
566,-2254.0,988,143,1,True
567,-3243.0,1320,216,1,True
568,-1997.0,893,125,1,True
569,-1413.0,507,103,1,True
570,-2500.0,1045,164,1,True
571,-2117.0,905,137,1,True
572,-502.0,208,35,1,True
573,-3283.0,1315,221,1,True
574,-1645.0,712,106,1,True
575,-1373.0,521,97,1,True
576,-2499.0,1116,156,1,True
577,-2371.0,979,157,1,True
578,-1037.0,455,67,1,True
579,-1664.0,659,114,1,True
580,-348.0,171,22,1,True
581,-2288.0,941,152,1,True
582,-1735.0,649,123,1,True
583,-1609.0,685,105,1,True
584,-2335.0,925,159,1,True
585,-1523.0,581,107,1,True
586,-962.0,398,65,1,True
587,-1273.0,592,78,1,True
588,-2580.0,1116,165,1,True
589,-1338.0,531,92,1,True
590,-1164.0,420,85,1,True
591,-1107.0,489,71,1,True
592,-1695.0,762,106,1,True
593,-2253.0,942,148,1,True
594,-1099.0,382,82,1,True
595,-1177.0,559,71,1,True
596,-2302.0,883,160,1,True
597,-1009.0,409,69,1,True
598,-1558.0,607,108,1,True
599,-1221.0,585,73,1,True
600,-2367.0,966,158,1,True
601,-1600.0,649,108,1,True
602,-2393.0,965,161,1,True
603,-2574.0,1101,166,1,True
604,-1532.0,608,105,1,True
605,-2323.0,913,159,1,True
606,-2500.0,1099,158,1,True
607,-569.0,203,43,1,True
608,-1260.0,489,88,1,True
609,-1410.0,594,93,1,True
610,-1770.0,720,119,1,True
611,-1247.0,512,84,1,True
612,-2450.0,1058,157,1,True
613,-2299.0,961,151,1,True
614,-969.0,369,69,1,True
615,-1864.0,751,126,1,True
616,-1770.0,738,117,1,True
617,-2012.0,944,121,1,True
618,-2488.0,1042,163,1,True
619,-1461.0,582,100,1,True
620,-2682.0,1191,168,1,True
621,-1202.0,521,78,1,True
622,-2531.0,1094,162,1,True
623,-349.0,181,21,1,True
624,-2501.0,1046,164,1,True
625,-2476.0,985,168,1,True
626,-2265.0,954,148,1,True
627,-2132.0,857,144,1,True
628,-2235.0,978,142,1,True
629,-2279.0,923,153,1,True
630,-1470.0,609,98,1,True
631,-1791.0,741,119,1,True
632,-1256.0,530,83,1,True
633,-1097.0,479,71,1,True
634,-3164.0,1232,217,1,True
635,-892.0,391,58,1,True
636,-2623.0,1150,166,1,True
637,-2129.0,899,139,1,True
638,-2395.0,976,160,1,True
639,-2404.0,994,159,1,True
640,-2031.0,819,137,1,True
641,-1485.0,579,103,1,True
642,-1599.0,684,104,1,True
643,-732.0,303,50,1,True
644,-1977.0,855,127,1,True
645,-2713.0,1177,173,1,True
646,-2536.0,1090,163,1,True
647,-1760.0,728,117,1,True
648,-2141.0,884,142,1,True
649,-1232.0,542,79,1,True
650,-1388.0,554,95,1,True
651,-1396.0,544,97,1,True
652,-1581.0,657,105,1,True
653,-2082.0,798,145,1,True
654,-817.0,325,57,1,True
655,-1619.0,659,109,1,True
656,-1224.0,525,80,1,True
657,-1335.0,519,93,1,True
658,-708.0,279,50,1,True
659,-2231.0,839,157,1,True
660,-2283.0,954,150,1,True
661,-947.0,383,65,1,True
662,-1219.0,466,86,1,True
663,-2187.0,849,151,1,True
664,-688.0,286,47,1,True
665,-3552.0,1500,228,0,False
666,-872.0,344,61,1,True
667,-1612.0,670,107,1,True
668,-962.0,344,71,1,True
669,-997.0,478,60,1,True
670,-2355.0,954,158,1,True
671,-1348.0,523,94,1,True
672,-1503.0,615,101,1,True
673,-783.0,300,56,1,True
674,-2277.0,966,148,1,True
675,-2651.0,1124,172,1,True
676,-1054.0,382,77,1,True
677,-682.0,262,49,1,True
678,-2136.0,816,149,1,True
679,-2423.0,986,162,1,True
680,-1603.0,634,110,1,True
681,-1271.0,464,92,1,True
682,-1250.0,497,86,1,True
683,-494.0,209,34,1,True
