Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
424,-1197.0,507,79,1,0,True
425,-813.0,321,57,1,0,True
426,-1529.0,623,103,1,0,True
427,-1617.0,693,105,1,0,True
428,-2577.0,1104,166,1,0,True
429,-2982.0,1338,185,1,0,True
430,-2435.0,1061,155,1,0,True
431,-1274.0,476,91,1,0,True
432,-628.0,235,46,1,0,True
433,-857.0,347,59,1,0,True
434,-2623.0,1177,163,1,0,True
435,-1073.0,473,69,1,0,True
436,-3435.0,1500,215,0,0,False
437,-1413.0,579,95,1,0,True
438,-174.0,96,11,1,0,True
439,-2629.0,1174,164,1,0,True
440,-1390.0,547,96,1,0,True
441,-719.0,290,50,1,0,True
442,-1240.0,622,71,1,0,True
443,-2857.0,1303,175,1,0,True
444,-3127.0,1330,202,1,0,True
445,-785.0,311,55,1,0,True
446,-1138.0,439,80,1,0,True
447,-2334.0,987,152,1,0,True
448,-2303.0,911,157,1,0,True
449,-2649.0,1140,170,1,0,True
450,-2498.0,1034,165,1,0,True
451,-2108.0,833,144,1,0,True
452,-958.0,403,64,1,0,True
453,-2264.0,953,148,1,0,True
454,-2369.0,950,160,1,0,True
455,-1287.0,534,86,1,0,True
456,-1147.0,475,77,1,0,True
457,-1378.0,526,97,1,0,True
458,-1462.0,610,97,1,0,True
459,-2435.0,998,162,1,0,True
460,-885.0,330,64,1,0,True
461,-1262.0,545,82,1,0,True
462,-2565.0,1128,162,1,0,True
463,-2343.0,960,156,1,0,True
464,-1552.0,646,103,1,0,True
465,-1447.0,595,97,1,0,True
466,-3372.0,1500,208,0,0,False
467,-1342.0,526,93,1,0,True
468,-1150.0,550,69,1,0,True
469,-2553.0,1161,157,1,0,True
470,-1406.0,536,99,1,0,True
471,-2201.0,944,142,1,0,True
472,-1235.0,509,83,1,0,True
473,-2400.0,990,159,1,0,True
474,-3516.0,1500,224,0,0,False
475,-609.0,243,43,1,0,True
476,-2331.0,957,155,1,0,True
477,-1545.0,648,102,1,0,True
478,-1162.0,409,86,1,0,True
479,-1215.0,480,84,1,0,True
480,-1319.0,584,84,1,0,True
481,-2419.0,1009,159,1,0,True
482,-901.0,364,62,1,0,True
483,-1113.0,486,72,1,0,True
484,-2519.0,1055,165,1,0,True
485,-1529.0,623,103,1,0,True
486,-2659.0,1195,165,1,0,True
487,-1462.0,619,96,1,0,True
488,-2598.0,1125,166,1,0,True
489,-2431.0,985,163,1,0,True
490,-1576.0,652,105,1,0,True
491,-1005.0,396,70,1,0,True
492,-3489.0,1500,221,0,0,False
493,-2558.0,1058,169,1,0,True
494,-1790.0,686,125,1,0,True
495,-1265.0,557,81,1,0,True
496,-840.0,339,58,1,0,True
497,-2486.0,1031,164,1,0,True
498,-627.0,252,44,1,0,True
499,-1676.0,662,115,1,0,True
500,-1194.0,468,83,1,0,True
501,-1053.0,426,72,1,0,True
502,-1073.0,428,74,1,0,True
503,-2666.0,1166,169,1,0,True
504,-2327.0,935,157,1,0,True
505,-2484.0,1110,155,1,0,True
506,-3498.0,1500,222,0,0,False
507,-1251.0,507,85,1,0,True
508,-830.0,311,60,1,0,True
509,-470.0,185,34,1,0,True
510,-1588.0,655,106,1,0,True
511,-1537.0,667,99,1,0,True
512,-360.0,156,25,1,0,True
513,-2626.0,1108,171,1,0,True
514,-1878.0,765,126,1,0,True
515,-810.0,300,59,1,0,True
516,-1445.0,557,101,1,0,True
517,-1536.0,648,101,1,0,True
518,-2610.0,1146,165,1,0,True
519,-1830.0,852,111,1,0,True
520,-1325.0,554,88,1,0,True
521,-712.0,310,47,1,0,True
522,-1675.0,652,116,1,0,True
523,-1478.0,608,99,1,0,True
524,-1296.0,498,91,1,0,True
525,-1258.0,550,81,1,0,True
526,-1273.0,511,87,1,0,True
527,-2182.0,925,142,1,0,True
528,-2231.0,866,154,1,0,True
529,-1461.0,555,103,1,0,True
530,-951.0,369,67,1,0,True
531,-1332.0,561,88,1,0,True
532,-975.0,393,67,1,0,True
