Episode,Total Reward,Steps,Falls,Rollbacks
340,-50.0,50,0,0,True
341,-120.0,120,0,0,True
342,-108.0,108,0,0,True
343,-89.0,89,0,0,True
344,-318.0,120,2,0,True
345,-114.0,114,0,0,True
346,-117.0,117,0,0,True
347,-520.0,223,3,0,True
348,-77.0,77,0,0,True
349,-123.0,123,0,0,True
350,-150.0,150,0,0,True
351,-400.0,202,2,0,True
352,-386.0,188,2,0,True
353,-165.0,165,0,0,True
354,-128.0,128,0,0,True
355,-87.0,87,0,0,True
356,-636.0,240,4,0,True
357,-75.0,75,0,0,True
358,-88.0,88,0,0,True
359,-74.0,74,0,0,True
360,-108.0,108,0,0,True
361,-144.0,144,0,0,True
362,-124.0,124,0,0,True
363,-2067.0,681,14,0,True
364,-200.0,101,1,0,True
365,-96.0,96,0,0,True
366,-838.0,244,6,0,True
367,-52.0,52,0,0,True
368,-68.0,68,0,0,True
369,-1987.0,700,13,0,False
370,-44.0,44,0,0,True
371,-756.0,261,5,0,True
372,-121.0,121,0,0,True
373,-55.0,55,0,0,True
374,-98.0,98,0,0,True
375,-519.0,222,3,0,True
376,-363.0,165,2,0,True
377,-100.0,100,0,0,True
378,-157.0,157,0,0,True
379,-73.0,73,0,0,True
380,-149.0,149,0,0,True
381,-2125.0,640,15,0,True
382,-167.0,167,0,0,True
383,-1611.0,522,11,0,True
384,-257.0,158,1,0,True
385,-80.0,80,0,0,True
386,-1495.0,505,10,0,True
387,-114.0,114,0,0,True
388,-1729.0,640,11,0,True
389,-76.0,76,0,0,True
390,-160.0,160,0,0,True
391,-2383.0,700,17,0,False
392,-876.0,282,6,0,True
393,-130.0,130,0,0,True
394,-168.0,168,0,0,True
395,-146.0,146,0,0,True
396,-2035.0,550,15,0,True
397,-2185.0,700,15,0,False
398,-208.0,109,1,0,True
399,-88.0,88,0,0,True
400,-101.0,101,0,0,True
401,-118.0,118,0,0,True
402,-107.0,107,0,0,True
403,-1972.0,586,14,0,True
404,-88.0,88,0,0,True
405,-129.0,129,0,0,True
406,-114.0,114,0,0,True
407,-131.0,131,0,0,True
408,-129.0,129,0,0,True
409,-366.0,168,2,0,True
410,-110.0,110,0,0,True
411,-577.0,181,4,0,True
412,-743.0,248,5,0,True
413,-105.0,105,0,0,True
414,-82.0,82,0,0,True
415,-128.0,128,0,0,True
416,-80.0,80,0,0,True
417,-139.0,139,0,0,True
418,-1888.0,700,12,0,False
419,-379.0,181,2,0,True
420,-105.0,105,0,0,True
421,-50.0,50,0,0,True
422,-358.0,160,2,0,True
423,-810.0,216,6,0,True
424,-67.0,67,0,0,True
425,-125.0,125,0,0,True
426,-63.0,63,0,0,True
427,-121.0,121,0,0,True
428,-732.0,237,5,0,True
429,-341.0,143,2,0,True
430,-416.0,119,3,0,True
431,-71.0,71,0,0,True
432,-1707.0,618,11,0,True
433,-638.0,242,4,0,True
434,-1657.0,568,11,0,True
435,-89.0,89,0,0,True
436,-96.0,96,0,0,True
437,-58.0,58,0,0,True
438,-193.0,94,1,0,True
439,-122.0,122,0,0,True
440,-133.0,133,0,0,True
441,-380.0,182,2,0,True
442,-76.0,76,0,0,True
443,-83.0,83,0,0,True
444,-89.0,89,0,0,True
445,-88.0,88,0,0,True
446,-902.0,308,6,0,True
447,-458.0,161,3,0,True
448,-71.0,71,0,0,True
449,-128.0,128,0,0,True
450,-1127.0,335,8,0,True
451,-905.0,311,6,0,True
452,-110.0,110,0,0,True
453,-1747.0,559,12,0,True
454,-56.0,56,0,0,True
455,-1888.0,700,12,0,False
456,-57.0,57,0,0,True
457,-68.0,68,0,0,True
458,-45.0,45,0,0,True
459,-490.0,193,3,0,True
460,-277.0,178,1,0,True
461,-70.0,70,0,0,True
462,-1316.0,425,9,0,True
463,-401.0,203,2,0,True
464,-106.0,106,0,0,True
465,-122.0,122,0,0,True
466,-182.0,83,1,0,True
467,-116.0,116,0,0,True
468,-380.0,182,2,0,True
469,-94.0,94,0,0,True
470,-123.0,123,0,0,True
471,-203.0,104,1,0,True
472,-95.0,95,0,0,True
473,-94.0,94,0,0,True
474,-102.0,102,0,0,True
475,-55.0,55,0,0,True
476,-249.0,150,1,0,True
477,-157.0,157,0,0,True
478,-1871.0,584,13,0,True
479,-749.0,254,5,0,True
480,-119.0,119,0,0,True
481,-62.0,62,0,0,True
482,-103.0,103,0,0,True
483,-441.0,144,3,0,True
484,-95.0,95,0,0,True
485,-92.0,92,0,0,True
486,-1099.0,307,8,0,True
487,-78.0,78,0,0,True
488,-216.0,117,1,0,True
489,-771.0,276,5,0,True
490,-143.0,143,0,0,True
491,-80.0,80,0,0,True
492,-99.0,99,0,0,True
493,-139.0,139,0,0,True
494,-2086.0,700,14,0,False
495,-175.0,175,0,0,True
496,-70.0,70,0,0,True
497,-320.0,122,2,0,True
498,-69.0,69,0,0,True
499,-140.0,140,0,0,True
500,-364.0,166,2,0,True
501,-125.0,125,0,0,True
502,-91.0,91,0,0,True
503,-401.0,203,2,0,True
504,-103.0,103,0,0,True
505,-245.0,146,1,0,True
506,-179.0,179,0,0,True
507,-101.0,101,0,0,True
508,-751.0,256,5,0,True
509,-63.0,63,0,0,True
510,-125.0,125,0,0,True
511,-258.0,159,1,0,True
512,-142.0,142,0,0,True
513,-92.0,92,0,0,True
514,-352.0,154,2,0,True
515,-1562.0,473,11,0,True
516,-1779.0,492,13,0,True
517,-120.0,120,0,0,True
518,-42.0,42,0,0,True
519,-64.0,64,0,0,True
520,-2185.0,700,15,0,False
521,-124.0,124,0,0,True
522,-501.0,204,3,0,True
523,-2284.0,700,16,0,False
524,-321.0,123,2,0,True
525,-344.0,146,2,0,True
526,-126.0,126,0,0,True
527,-1372.0,382,10,0,True
528,-102.0,102,0,0,True
529,-67.0,67,0,0,True
530,-114.0,114,0,0,True
531,-1772.0,683,11,0,True
532,-374.0,176,2,0,True
533,-686.0,191,5,0,True
534,-1104.0,411,7,0,True
535,-109.0,109,0,0,True
536,-49.0,49,0,0,True
537,-151.0,151,0,0,True
538,-518.0,122,4,0,True
539,-134.0,134,0,0,True
540,-102.0,102,0,0,True
541,-1505.0,416,11,0,True
542,-109.0,109,0,0,True
543,-111.0,111,0,0,True
544,-75.0,75,0,0,True
545,-105.0,105,0,0,True
546,-160.0,160,0,0,True
547,-75.0,75,0,0,True
548,-2126.0,641,15,0,True
549,-1987.0,700,13,0,False
550,-75.0,75,0,0,True
551,-160.0,160,0,0,True
552,-369.0,171,2,0,True
553,-137.0,137,0,0,True
554,-198.0,99,1,0,True
555,-2383.0,700,17,0,False
556,-111.0,111,0,0,True
557,-90.0,90,0,0,True
558,-2680.0,700,20,0,False
559,-100.0,100,0,0,True
560,-75.0,75,0,0,True
561,-112.0,112,0,0,True
562,-93.0,93,0,0,True
563,-383.0,185,2,0,True
564,-56.0,56,0,0,True
565,-53.0,53,0,0,True
566,-2185.0,700,15,0,False
567,-500.0,203,3,0,True
568,-121.0,121,0,0,True
569,-376.0,178,2,0,True
570,-621.0,225,4,0,True
571,-2482.0,700,18,0,False
572,-102.0,102,0,0,True
573,-84.0,84,0,0,True
574,-350.0,152,2,0,True
575,-133.0,133,0,0,True
576,-178.0,178,0,0,True
577,-103.0,103,0,0,True
578,-2243.0,659,16,0,True
579,-92.0,92,0,0,True
580,-110.0,110,0,0,True
581,-99.0,99,0,0,True
582,-101.0,101,0,0,True
583,-750.0,255,5,0,True
584,-123.0,123,0,0,True
585,-73.0,73,0,0,True
586,-107.0,107,0,0,True
587,-135.0,135,0,0,True
588,-153.0,54,1,0,True
589,-90.0,90,0,0,True
590,-369.0,171,2,0,True
591,-177.0,177,0,0,True
592,-124.0,124,0,0,True
593,-42.0,42,0,0,True
594,-78.0,78,0,0,True
595,-53.0,53,0,0,True
596,-385.0,187,2,0,True
597,-136.0,136,0,0,True
598,-86.0,86,0,0,True
599,-123.0,123,0,0,True
600,-120.0,120,0,0,True
601,-215.0,116,1,0,True
602,-2086.0,700,14,0,False
603,-78.0,78,0,0,True
604,-150.0,150,0,0,True
605,-2086.0,700,14,0,False
606,-60.0,60,0,0,True
607,-2025.0,540,15,0,True
608,-79.0,79,0,0,True
609,-592.0,196,4,0,True
610,-99.0,99,0,0,True
611,-70.0,70,0,0,True
612,-127.0,127,0,0,True
613,-177.0,177,0,0,True
614,-1171.0,379,8,0,True
615,-87.0,87,0,0,True
616,-126.0,126,0,0,True
617,-225.0,126,1,0,True
618,-325.0,127,2,0,True
619,-76.0,76,0,0,True
620,-51.0,51,0,0,True
621,-64.0,64,0,0,True
622,-85.0,85,0,0,True
623,-138.0,138,0,0,True
624,-503.0,206,3,0,True
625,-319.0,121,2,0,True
626,-373.0,175,2,0,True
627,-98.0,98,0,0,True
628,-370.0,172,2,0,True
629,-77.0,77,0,0,True
630,-2086.0,700,14,0,False
631,-87.0,87,0,0,True
632,-56.0,56,0,0,True
633,-87.0,87,0,0,True
634,-1205.0,314,9,0,True
635,-107.0,107,0,0,True
636,-129.0,129,0,0,True
637,-63.0,63,0,0,True
638,-611.0,215,4,0,True
639,-124.0,124,0,0,True
640,-890.0,296,6,0,True
641,-88.0,88,0,0,True
642,-271.0,172,1,0,True
643,-140.0,140,0,0,True
644,-108.0,108,0,0,True
645,-740.0,245,5,0,True
646,-156.0,156,0,0,True
647,-964.0,271,7,0,True
648,-76.0,76,0,0,True
649,-175.0,175,0,0,True
650,-386.0,188,2,0,True
651,-135.0,135,0,0,True
652,-746.0,251,5,0,True
653,-179.0,80,1,0,True
654,-109.0,109,0,0,True
655,-94.0,94,0,0,True
656,-85.0,85,0,0,True
657,-109.0,109,0,0,True
658,-151.0,151,0,0,True
659,-148.0,148,0,0,True
660,-75.0,75,0,0,True
661,-73.0,73,0,0,True
662,-86.0,86,0,0,True
663,-111.0,111,0,0,True
664,-636.0,240,4,0,True
665,-2086.0,700,14,0,False
666,-2185.0,700,15,0,False
667,-77.0,77,0,0,True
668,-114.0,114,0,0,True
669,-1190.0,398,8,0,True
670,-195.0,96,1,0,True
671,-105.0,105,0,0,True
672,-391.0,193,2,0,True
673,-96.0,96,0,0,True
674,-96.0,96,0,0,True
675,-111.0,111,0,0,True
676,-290.0,191,1,0,True
677,-39.0,39,0,0,True
678,-138.0,138,0,0,True
679,-102.0,102,0,0,True
680,-769.0,274,5,0,True
681,-121.0,121,0,0,True
682,-380.0,182,2,0,True
683,-607.0,211,4,0,True
684,-398.0,200,2,0,True
685,-78.0,78,0,0,True
686,-106.0,106,0,0,True
687,-386.0,188,2,0,True
688,-1718.0,629,11,0,True
689,-336.0,138,2,0,True
690,-87.0,87,0,0,True
691,-110.0,110,0,0,True
692,-143.0,143,0,0,True
693,-86.0,86,0,0,True
694,-87.0,87,0,0,True
695,-394.0,196,2,0,True
696,-120.0,120,0,0,True
697,-102.0,102,0,0,True
698,-179.0,179,0,0,True
699,-581.0,185,4,0,True
700,-1470.0,480,10,0,True
701,-375.0,177,2,0,True
702,-364.0,166,2,0,True
703,-123.0,123,0,0,True
704,-126.0,126,0,0,True
705,-645.0,249,4,0,True
706,-83.0,83,0,0,True
707,-1888.0,700,12,0,False
708,-148.0,148,0,0,True
709,-354.0,156,2,0,True
710,-606.0,210,4,0,True
711,-106.0,106,0,0,True
712,-284.0,185,1,0,True
713,-119.0,119,0,0,True
714,-53.0,53,0,0,True
715,-97.0,97,0,0,True
716,-106.0,106,0,0,True
717,-111.0,111,0,0,True
718,-2284.0,700,16,0,False
719,-111.0,111,0,0,True
720,-385.0,187,2,0,True
721,-134.0,134,0,0,True
722,-95.0,95,0,0,True
723,-141.0,141,0,0,True
724,-76.0,76,0,0,True
725,-61.0,61,0,0,True
726,-99.0,99,0,0,True
727,-113.0,113,0,0,True
728,-103.0,103,0,0,True
729,-391.0,193,2,0,True
730,-2284.0,700,16,0,False
731,-208.0,109,1,0,True
732,-76.0,76,0,0,True
733,-97.0,97,0,0,True
734,-122.0,122,0,0,True
735,-102.0,102,0,0,True
736,-400.0,202,2,0,True
737,-126.0,126,0,0,True
738,-60.0,60,0,0,True
739,-103.0,103,0,0,True
740,-1888.0,700,12,0,False
741,-146.0,146,0,0,True
742,-609.0,213,4,0,True
743,-1079.0,287,8,0,True
744,-371.0,173,2,0,True
745,-123.0,123,0,0,True
746,-110.0,110,0,0,True
747,-47.0,47,0,0,True
748,-746.0,251,5,0,True
749,-109.0,109,0,0,True
750,-76.0,76,0,0,True
751,-95.0,95,0,0,True
752,-181.0,181,0,0,True
753,-130.0,130,0,0,True
754,-1614.0,525,11,0,True
755,-97.0,97,0,0,True
756,-111.0,111,0,0,True
757,-138.0,138,0,0,True
758,-133.0,133,0,0,True
759,-675.0,180,5,0,True
760,-369.0,171,2,0,True
761,-91.0,91,0,0,True
762,-84.0,84,0,0,True
763,-126.0,126,0,0,True
764,-104.0,104,0,0,True
765,-372.0,174,2,0,True
766,-97.0,97,0,0,True
767,-494.0,197,3,0,True
768,-87.0,87,0,0,True
769,-396.0,198,2,0,True
770,-88.0,88,0,0,True
771,-171.0,171,0,0,True
772,-1413.0,423,10,0,True
773,-363.0,165,2,0,True
774,-892.0,298,6,0,True
775,-368.0,170,2,0,True
776,-83.0,83,0,0,True
777,-219.0,120,1,0,True
778,-90.0,90,0,0,True
779,-125.0,125,0,0,True
780,-125.0,125,0,0,True
781,-490.0,193,3,0,True
782,-998.0,305,7,0,True
783,-2383.0,700,17,0,False
784,-116.0,116,0,0,True
785,-2086.0,700,14,0,False
786,-39.0,39,0,0,True
787,-1987.0,700,13,0,False
788,-121.0,121,0,0,True
789,-112.0,112,0,0,True
790,-482.0,185,3,0,True
791,-611.0,215,4,0,True
792,-103.0,103,0,0,True
793,-536.0,239,3,0,True
794,-108.0,108,0,0,True
795,-85.0,85,0,0,True
796,-85.0,85,0,0,True
797,-141.0,141,0,0,True
798,-148.0,148,0,0,True
799,-135.0,135,0,0,True
800,-93.0,93,0,0,True
801,-97.0,97,0,0,True
802,-131.0,131,0,0,True
803,-563.0,167,4,0,True
804,-99.0,99,0,0,True
805,-122.0,122,0,0,True
806,-369.0,171,2,0,True
807,-121.0,121,0,0,True
808,-81.0,81,0,0,True
809,-767.0,272,5,0,True
810,-997.0,304,7,0,True
811,-220.0,121,1,0,True
812,-651.0,255,4,0,True
813,-366.0,168,2,0,True
814,-611.0,215,4,0,True
815,-70.0,70,0,0,True
816,-101.0,101,0,0,True
817,-147.0,147,0,0,True
818,-135.0,135,0,0,True
819,-143.0,143,0,0,True
820,-52.0,52,0,0,True
821,-210.0,111,1,0,True
822,-140.0,140,0,0,True
823,-743.0,248,5,0,True
824,-1789.0,700,11,0,False
825,-85.0,85,0,0,True
826,-1987.0,700,13,0,False
827,-2185.0,700,15,0,False
828,-602.0,206,4,0,True
829,-379.0,181,2,0,True
830,-70.0,70,0,0,True
831,-83.0,83,0,0,True
832,-1801.0,613,12,0,True
833,-86.0,86,0,0,True
834,-1102.0,310,8,0,True
835,-108.0,108,0,0,True
836,-157.0,157,0,0,True
837,-89.0,89,0,0,True
838,-68.0,68,0,0,True
839,-108.0,108,0,0,True
840,-82.0,82,0,0,True
841,-646.0,250,4,0,True
842,-143.0,143,0,0,True
843,-112.0,112,0,0,True
844,-134.0,134,0,0,True
845,-794.0,299,5,0,True
846,-131.0,131,0,0,True
847,-113.0,113,0,0,True
848,-155.0,155,0,0,True
849,-513.0,216,3,0,True
850,-1598.0,608,10,0,True
851,-134.0,134,0,0,True
852,-1759.0,670,11,0,True
853,-89.0,89,0,0,True
854,-80.0,80,0,0,True
855,-84.0,84,0,0,True
856,-68.0,68,0,0,True
857,-1403.0,512,9,0,True
858,-1216.0,424,8,0,True
859,-226.0,127,1,0,True
860,-45.0,45,0,0,True
861,-129.0,129,0,0,True
862,-69.0,69,0,0,True
863,-119.0,119,0,0,True
864,-133.0,133,0,0,True
865,-99.0,99,0,0,True
866,-119.0,119,0,0,True
867,-483.0,186,3,0,True
868,-1702.0,514,12,0,True
869,-1392.0,402,10,0,True
870,-76.0,76,0,0,True
871,-67.0,67,0,0,True
872,-398.0,200,2,0,True
873,-86.0,86,0,0,True
874,-123.0,123,0,0,True
875,-115.0,115,0,0,True
876,-747.0,252,5,0,True
877,-1638.0,549,11,0,True
878,-95.0,95,0,0,True
879,-337.0,139,2,0,True
880,-53.0,53,0,0,True
881,-126.0,126,0,0,True
882,-77.0,77,0,0,True
883,-42.0,42,0,0,True
884,-471.0,174,3,0,True
885,-136.0,136,0,0,True
886,-371.0,173,2,0,True
887,-136.0,136,0,0,True
888,-174.0,174,0,0,True
889,-1311.0,420,9,0,True
890,-141.0,141,0,0,True
891,-141.0,141,0,0,True
892,-1888.0,700,12,0,False
893,-134.0,134,0,0,True
894,-515.0,218,3,0,True
895,-1590.0,402,12,0,True
896,-55.0,55,0,0,True
897,-894.0,300,6,0,True
898,-152.0,152,0,0,True
899,-1159.0,367,8,0,True
900,-69.0,69,0,0,True
901,-88.0,88,0,0,True
902,-1815.0,627,12,0,True
903,-2482.0,700,18,0,False
904,-125.0,125,0,0,True
905,-96.0,96,0,0,True
906,-1141.0,349,8,0,True
907,-94.0,94,0,0,True
908,-38.0,38,0,0,True
909,-47.0,47,0,0,True
910,-111.0,111,0,0,True
911,-229.0,130,1,0,True
912,-102.0,102,0,0,True
913,-95.0,95,0,0,True
914,-317.0,119,2,0,True
915,-1421.0,431,10,0,True
916,-381.0,183,2,0,True
917,-162.0,162,0,0,True
918,-844.0,250,6,0,True
