Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
269,-2229.0,954,144,1,0,True
270,-1398.0,546,97,1,0,True
271,-1464.0,603,98,1,0,True
272,-1275.0,549,83,1,0,True
273,-1578.0,591,112,1,0,True
274,-2343.0,987,153,1,0,True
275,-972.0,381,68,1,0,True
276,-1300.0,520,89,1,0,True
277,-1263.0,564,80,1,0,True
278,-1084.0,421,76,1,0,True
279,-2808.0,1308,169,1,0,True
280,-2136.0,825,148,1,0,True
281,-973.0,400,66,1,0,True
282,-2128.0,826,147,1,0,True
283,-1859.0,827,117,1,0,True
284,-2066.0,863,136,1,0,True
285,-1662.0,657,114,1,0,True
286,-1228.0,457,88,1,0,True
287,-1606.0,691,104,1,0,True
288,-1992.0,762,139,1,0,True
289,-1667.0,707,109,1,0,True
290,-1511.0,641,99,1,0,True
291,-1486.0,535,108,1,0,True
292,-2508.0,1044,165,1,0,True
293,-3381.0,1500,209,0,0,False
294,-946.0,355,68,1,0,True
295,-1536.0,603,106,1,0,True
296,-1651.0,700,108,1,0,True
297,-1384.0,541,96,1,0,True
298,-2476.0,1021,164,1,0,True
299,-1905.0,756,130,1,0,True
300,-2413.0,994,160,1,0,True
301,-1942.0,811,128,1,0,True
302,-1107.0,435,77,1,0,True
303,-2028.0,816,137,1,0,True
304,-1541.0,626,104,1,0,True
305,-1153.0,490,76,1,0,True
306,-1025.0,416,70,1,0,True
307,-2317.0,907,159,1,0,True
308,-1010.0,410,69,1,0,True
309,-1121.0,485,73,1,0,True
310,-1511.0,677,95,1,0,True
311,-2422.0,976,163,1,0,True
312,-1532.0,581,108,1,0,True
313,-2544.0,1098,163,1,0,True
314,-1564.0,640,105,1,0,True
315,-2119.0,853,143,1,0,True
316,-1266.0,486,89,1,0,True
317,-1700.0,713,112,1,0,True
318,-2310.0,954,153,1,0,True
319,-1998.0,831,132,1,0,True
320,-2480.0,1088,157,1,0,True
321,-590.0,224,43,1,0,True
322,-2277.0,939,151,1,0,True
323,-1466.0,560,103,1,0,True
324,-3175.0,1405,199,1,0,True
325,-1325.0,590,84,1,0,True
326,-589.0,232,42,1,0,True
327,-2308.0,961,152,1,0,True
328,-1255.0,502,86,1,0,True
329,-1616.0,674,107,1,0,True
330,-1776.0,744,117,1,0,True
331,-557.0,200,42,1,0,True
332,-2525.0,1043,167,1,0,True
333,-2353.0,1015,151,1,0,True
334,-1836.0,750,123,1,0,True
335,-1211.0,458,86,1,0,True
336,-2422.0,967,164,1,0,True
337,-2148.0,864,145,1,0,True
338,-1053.0,426,72,1,0,True
339,-1894.0,736,131,1,0,True
340,-1266.0,477,90,1,0,True
341,-2500.0,1072,161,1,0,True
342,-1862.0,776,123,1,0,True
343,-1187.0,524,76,1,0,True
344,-1248.0,513,84,1,0,True
345,-1388.0,518,99,1,0,True
346,-1534.0,628,103,1,0,True
347,-2193.0,882,148,1,0,True
348,-2630.0,1103,172,1,0,True
349,-2431.0,976,164,1,0,True
350,-789.0,306,56,1,0,True
351,-1072.0,436,73,1,0,True
352,-1597.0,673,105,1,0,True
353,-1392.0,612,89,1,0,True
354,-1249.0,487,87,1,0,True
355,-1735.0,712,116,1,0,True
356,-1564.0,667,102,1,0,True
357,-2212.0,883,150,1,0,True
358,-935.0,335,69,1,0,True
359,-963.0,372,68,1,0,True
360,-1172.0,500,77,1,0,True
361,-1825.0,703,127,1,0,True
362,-1188.0,507,78,1,0,True
363,-1604.0,644,109,1,0,True
364,-1568.0,662,103,1,0,True
365,-1878.0,882,113,1,0,True
366,-1189.0,463,83,1,0,True
367,-2286.0,957,150,1,0,True
368,-1454.0,575,100,1,0,True
369,-1421.0,569,97,1,0,True
370,-2761.0,1198,176,1,0,True
371,-1221.0,522,80,1,0,True
372,-1564.0,658,103,1,0,True
373,-1239.0,531,81,1,0,True
374,-1577.0,635,107,1,0,True
375,-1938.0,771,132,1,0,True
376,-1367.0,560,92,1,0,True
377,-1274.0,530,85,1,0,True
378,-910.0,373,62,1,0,True
379,-1251.0,534,82,1,0,True
380,-880.0,334,63,1,0,True
381,-1637.0,668,110,1,0,True
382,-1663.0,694,110,1,0,True
383,-2547.0,1038,170,1,0,True
384,-1262.0,482,89,1,0,True
385,-1813.0,808,114,1,0,True
386,-2451.0,1005,163,1,0,True
387,-1148.0,467,78,1,0,True
388,-1651.0,745,103,1,0,True
389,-1738.0,670,121,1,0,True
390,-970.0,379,68,1,0,True
391,-95.0,62,6,1,0,True
392,-2598.0,1071,172,1,0,True
393,-1382.0,593,90,1,0,True
394,-1224.0,552,77,1,0,True
395,-1875.0,834,118,1,0,True
396,-1406.0,590,93,1,0,True
397,-1328.0,557,88,1,0,True
398,-902.0,347,64,1,0,True
399,-1623.0,663,109,1,0,True
400,-1791.0,768,116,1,0,True
401,-2393.0,920,166,1,0,True
402,-1691.0,731,109,1,0,True
403,-408.0,159,30,1,0,True
404,-1512.0,633,100,1,0,True
405,-2613.0,987,183,1,0,True
406,-1144.0,427,82,1,0,True
407,-1807.0,685,127,1,0,True
408,-1434.0,582,97,1,0,True
409,-1631.0,698,106,1,0,True
410,-1451.0,608,96,1,0,True
411,-1676.0,716,109,1,0,True
412,-1460.0,608,97,1,0,True
413,-917.0,389,61,1,0,True
414,-950.0,413,62,1,0,True
415,-1377.0,561,93,1,0,True
416,-1529.0,614,104,1,0,True
417,-1749.0,708,118,1,0,True
418,-1648.0,697,108,1,0,True
419,-1623.0,672,108,1,0,True
420,-562.0,214,41,1,0,True
421,-1364.0,539,94,1,0,True
422,-1249.0,523,83,1,0,True
423,-1635.0,621,115,1,0,True
424,-2310.0,900,159,1,0,True
425,-1387.0,544,96,1,0,True
426,-1356.0,612,85,1,0,True
427,-2654.0,1136,171,1,0,True
428,-1383.0,522,98,1,0,True
429,-2538.0,1110,161,1,0,True
430,-1169.0,443,83,1,0,True
431,-956.0,329,72,1,0,True
432,-989.0,380,70,1,0,True
433,-1243.0,499,85,1,0,True
434,-1676.0,707,110,1,0,True
435,-955.0,391,65,1,0,True
436,-1803.0,744,120,1,0,True
437,-2348.0,1001,152,1,0,True
438,-891.0,345,63,1,0,True
439,-1510.0,613,102,1,0,True
440,-412.0,190,27,1,0,True
441,-823.0,313,59,1,0,True
442,-1176.0,405,88,1,0,True
443,-1679.0,701,111,1,0,True
444,-1526.0,620,103,1,0,True
445,-1395.0,597,91,1,0,True
446,-1252.0,490,87,1,0,True
447,-1569.0,645,105,1,0,True
448,-2533.0,1096,162,1,0,True
449,-886.0,367,60,1,0,True
450,-3507.0,1500,223,0,0,False
451,-1673.0,713,109,1,0,True
452,-1940.0,764,133,1,0,True
453,-1366.0,532,95,1,0,True
454,-1998.0,768,139,1,0,True
455,-881.0,326,64,1,0,True
456,-1291.0,511,89,1,0,True
457,-3381.0,1404,222,1,0,True
458,-2293.0,928,154,1,0,True
459,-2307.0,870,162,1,0,True
460,-1046.0,392,75,1,0,True
461,-1337.0,530,92,1,0,True
462,-1844.0,704,129,1,0,True
463,-1363.0,538,94,1,0,True
464,-1968.0,801,132,1,0,True
465,-1308.0,510,91,1,0,True
466,-1461.0,600,98,1,0,True
467,-1055.0,401,75,1,0,True
468,-1361.0,572,90,1,0,True
469,-2477.0,1058,160,1,0,True
470,-1018.0,454,65,1,0,True
471,-878.0,359,60,1,0,True
472,-1060.0,415,74,1,0,True
473,-2654.0,1082,177,1,0,True
474,-3078.0,1290,201,1,0,True
475,-1104.0,468,73,1,0,True
476,-2399.0,1052,152,1,0,True
477,-3370.0,1420,219,1,0,True
478,-1619.0,704,104,1,0,True
479,-1093.0,385,81,1,0,True
480,-1033.0,478,64,1,0,True
481,-1368.0,543,94,1,0,True
482,-720.0,282,51,1,0,True
483,-3525.0,1500,225,0,0,False
484,-1534.0,628,103,1,0,True
485,-1884.0,798,123,1,0,True
486,-1293.0,549,85,1,0,True
487,-1242.0,516,83,1,0,True
488,-1727.0,695,117,1,0,True
489,-2025.0,822,136,1,0,True
490,-2409.0,1035,155,1,0,True
491,-1182.0,447,84,1,0,True
492,-1756.0,715,118,1,0,True
493,-1468.0,589,100,1,0,True
494,-2690.0,1181,170,1,0,True
495,-2656.0,1129,172,1,0,True
496,-1030.0,430,69,1,0,True
497,-1178.0,434,85,1,0,True
498,-1382.0,584,91,1,0,True
499,-1379.0,527,97,1,0,True
500,-1626.0,684,107,1,0,True
501,-1038.0,411,72,1,0,True
502,-723.0,285,51,1,0,True
503,-2377.0,967,159,1,0,True
