Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
302,-1561.0,637,105,1,True
303,-1891.0,778,126,1,True
304,-2518.0,991,172,1,True
305,-1468.0,697,88,1,True
306,-996.0,369,72,1,True
307,-2369.0,941,161,1,True
308,-2439.0,1002,162,1,True
309,-1001.0,401,69,1,True
310,-2463.0,1071,157,1,True
311,-3330.0,1380,219,1,True
312,-1598.0,638,109,1,True
313,-3480.0,1500,220,0,False
314,-3373.0,1459,215,1,True
315,-1405.0,526,100,1,True
316,-1174.0,466,81,1,True
317,-3350.0,1427,216,1,True
318,-1386.0,543,96,1,True
319,-2348.0,965,156,1,True
320,-2711.0,1193,171,1,True
321,-711.0,273,51,1,True
322,-2525.0,1052,166,1,True
323,-2556.0,1155,158,1,True
324,-823.0,313,59,1,True
325,-1352.0,545,92,1,True
326,-1282.0,502,89,1,True
327,-2371.0,970,158,1,True
328,-935.0,353,67,1,True
329,-2377.0,1021,153,1,True
330,-3287.0,1427,209,1,True
331,-540.0,201,40,1,True
332,-2540.0,1067,166,1,True
333,-1626.0,603,116,1,True
334,-900.0,390,59,1,True
335,-2388.0,1005,156,1,True
336,-1520.0,623,102,1,True
337,-2119.0,880,140,1,True
338,-1262.0,500,87,1,True
339,-2369.0,1004,154,1,True
340,-1133.0,533,69,1,True
341,-2738.0,1166,177,1,True
342,-2046.0,933,126,1,True
343,-1250.0,533,82,1,True
344,-1289.0,563,83,1,True
345,-3187.0,1282,214,1,True
346,-2294.0,911,156,1,True
347,-2479.0,1024,164,1,True
348,-2545.0,1054,168,1,True
349,-1899.0,759,129,1,True
350,-1356.0,576,89,1,True
351,-1133.0,425,81,1,True
352,-2401.0,1000,158,1,True
353,-886.0,376,59,1,True
354,-1019.0,401,71,1,True
355,-1298.0,545,86,1,True
356,-2132.0,830,147,1,True
357,-2404.0,985,160,1,True
358,-3221.0,1280,218,1,True
359,-3000.0,1176,205,1,True
360,-913.0,385,61,1,True
361,-903.0,384,60,1,True
362,-1633.0,682,108,1,True
363,-2005.0,838,132,1,True
364,-2344.0,934,159,1,True
365,-1739.0,716,116,1,True
366,-1425.0,564,98,1,True
367,-1930.0,781,130,1,True
368,-945.0,399,63,1,True
369,-1029.0,402,72,1,True
370,-2068.0,820,141,1,True
371,-1271.0,482,90,1,True
372,-1538.0,659,100,1,True
373,-1291.0,493,91,1,True
374,-1552.0,646,103,1,True
375,-2452.0,1015,162,1,True
376,-1335.0,591,85,1,True
377,-1253.0,527,83,1,True
378,-1710.0,669,118,1,True
379,-1006.0,370,73,1,True
380,-1170.0,471,80,1,True
381,-770.0,314,53,1,True
382,-2053.0,769,145,1,True
383,-1937.0,815,127,1,True
384,-1324.0,508,93,1,True
385,-2458.0,1003,164,1,True
386,-2461.0,1033,161,1,True
387,-1116.0,498,71,1,True
388,-3413.0,1436,222,1,True
389,-1400.0,557,96,1,True
390,-1231.0,523,81,1,True
391,-1226.0,545,78,1,True
392,-1983.0,789,135,1,True
393,-2256.0,855,158,1,True
394,-539.0,218,38,1,True
395,-2747.0,1193,175,1,True
396,-1426.0,556,99,1,True
397,-1062.0,390,77,1,True
398,-814.0,304,59,1,True
399,-1104.0,405,80,1,True
400,-1593.0,642,108,1,True
401,-3215.0,1310,214,1,True
402,-1976.0,791,134,1,True
403,-539.0,209,39,1,True
404,-1308.0,483,94,1,True
405,-2287.0,949,151,1,True
406,-1235.0,509,83,1,True
407,-1987.0,802,134,1,True
408,-1535.0,620,104,1,True
409,-1331.0,515,93,1,True
410,-2543.0,1079,165,1,True
411,-2448.0,1038,159,1,True
412,-1078.0,514,65,1,True
413,-478.0,202,33,1,True
414,-941.0,359,67,1,True
415,-3029.0,1214,204,1,True
416,-2963.0,1220,196,1,True
417,-2315.0,959,153,1,True
418,-1377.0,543,95,1,True
419,-2542.0,1087,164,1,True
420,-684.0,255,50,1,True
421,-1307.0,509,91,1,True
422,-968.0,422,63,1,True
423,-2087.0,803,145,1,True
424,-2240.0,947,146,1,True
425,-1302.0,477,94,1,True
426,-2519.0,1028,168,1,True
427,-2849.0,1385,165,1,True
428,-2302.0,964,151,1,True
429,-1656.0,624,117,1,True
430,-3484.0,1489,224,1,True
431,-914.0,341,66,1,True
432,-1237.0,529,81,1,True
433,-1453.0,637,93,1,True
434,-2556.0,1119,162,1,True
435,-907.0,370,62,1,True
436,-2388.0,1023,154,1,True
437,-1201.0,475,83,1,True
438,-809.0,290,60,1,True
439,-2174.0,953,138,1,True
440,-2246.0,989,142,1,True
441,-400.0,196,25,1,True
442,-1026.0,390,73,1,True
443,-1340.0,542,91,1,True
444,-1342.0,562,89,1,True
445,-1021.0,430,68,1,True
446,-1458.0,606,97,1,True
