Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
391,-176.0,236,0,1,True
392,-824.0,1005,0,1,True
393,-506.0,620,0,1,True
394,-441.0,541,0,1,True
395,-620.0,765,0,1,True
396,-495.0,618,0,1,True
397,-248.0,330,0,1,True
398,-1230.0,1469,0,1,True
399,-787.0,953,0,1,True
400,-658.0,808,0,1,True
401,-716.0,874,0,1,True
402,-942.0,1126,0,1,True
403,-81.0,126,0,1,True
404,-282.0,366,0,1,True
405,-371.0,481,0,1,True
406,-368.0,462,0,1,True
407,-383.0,485,0,1,True
408,-295.0,373,0,1,True
409,-960.0,1139,0,1,True
410,-481.0,592,0,1,True
411,-855.0,1044,0,1,True
412,-432.0,548,0,1,True
413,-389.0,497,0,1,True
414,-52.0,81,0,1,True
415,-723.0,881,0,1,True
416,-819.0,1004,0,1,True
417,-790.0,978,0,1,True
418,-850.0,1024,0,1,True
419,-675.0,833,0,1,True
420,-156.0,217,0,1,True
421,-530.0,658,0,1,True
422,-298.0,382,0,1,True
423,-616.0,736,0,1,True
424,-663.0,808,0,1,True
425,-347.0,451,0,1,True
426,-619.0,742,0,1,True
427,-1002.0,1188,0,1,True
428,-808.0,984,0,1,True
429,-694.0,851,0,1,True
430,-492.0,598,0,1,True
431,-328.0,432,0,1,True
432,-188.0,256,0,1,True
433,-537.0,649,0,1,True
434,-898.0,1083,0,1,True
435,-268.0,355,0,1,True
436,-565.0,705,0,1,True
437,-385.0,487,0,1,True
438,-271.0,354,0,1,True
439,-663.0,824,0,1,True
440,-1096.0,1306,0,1,True
441,-442.0,540,0,1,True
442,-438.0,534,0,1,True
443,-991.0,1181,0,1,True
444,-673.0,845,0,1,True
445,-394.0,496,0,1,True
446,-315.0,401,0,1,True
447,-795.0,962,0,1,True
448,-654.0,821,0,1,True
449,-472.0,589,0,1,True
450,-802.0,979,0,1,True
451,-587.0,716,0,1,True
452,-869.0,1046,0,1,True
453,-492.0,618,0,1,True
454,-902.0,1088,0,1,True
455,-364.0,475,0,1,True
456,-530.0,625,0,1,True
457,-603.0,725,0,1,True
458,-1243.0,1483,0,1,True
459,-1034.0,1220,0,1,True
460,-284.0,383,0,1,True
461,-442.0,556,0,1,True
462,-879.0,1060,0,1,True
463,-489.0,613,0,1,True
464,-898.0,1080,1,1,True
465,-770.0,937,0,1,True
466,-480.0,604,0,1,True
467,-467.0,576,0,1,True
468,-400.0,508,0,1,True
469,-760.0,916,0,1,True
470,-692.0,835,0,1,True
471,-889.0,1076,0,1,True
472,-249.0,321,0,1,True
473,-482.0,598,0,1,True
474,-433.0,549,0,1,True
475,-135.0,192,0,1,True
476,-844.0,1023,0,1,True
477,-864.0,1040,0,1,True
478,-437.0,559,0,1,True
479,-439.0,543,0,1,True
480,-570.0,684,0,1,True
481,-1239.0,1481,0,1,True
482,-1286.0,1500,0,0,False
483,-1127.0,1316,0,1,True
484,-786.0,972,0,1,True
485,-1109.0,1333,0,1,True
486,-875.0,1066,0,1,True
487,-1273.0,1500,0,0,False
488,-968.0,1149,0,1,True
489,-752.0,926,0,1,True
490,-905.0,1094,0,1,True
491,-308.0,396,0,1,True
492,-451.0,570,0,1,True
493,-680.0,835,0,1,True
494,-629.0,788,0,1,True
495,-1299.0,1500,0,0,False
496,-312.0,395,0,1,True
497,-862.0,1042,0,1,True
498,-380.0,472,0,1,True
499,-510.0,634,0,1,True
500,-410.0,522,0,1,True
501,-502.0,610,0,1,True
502,-297.0,391,0,1,True
503,-1235.0,1477,0,1,True
504,-579.0,714,0,1,True
505,-980.0,1161,0,1,True
506,-698.0,878,0,1,True
507,-539.0,661,0,1,True
508,-295.0,377,0,1,True
509,-369.0,466,0,1,True
510,-618.0,753,0,1,True
511,-993.0,1185,0,1,True
512,-118.0,171,0,1,True
513,-482.0,609,0,1,True
514,-635.0,780,0,1,True
515,-283.0,380,0,1,True
516,-723.0,901,0,1,True
517,-404.0,512,0,1,True
518,-407.0,535,0,1,True
519,-368.0,487,0,1,True
520,-399.0,497,0,1,True
521,-996.0,1177,0,1,True
522,-551.0,678,0,1,True
523,-613.0,762,0,1,True
524,-457.0,557,0,1,True
525,-1123.0,1353,0,1,True
526,-183.0,249,0,1,True
527,-756.0,920,0,1,True
528,-296.0,373,0,1,True
529,-414.0,529,0,1,True
530,-682.0,838,0,1,True
531,-505.0,620,0,1,True
532,-497.0,619,0,1,True
533,-334.0,407,0,1,True
534,-313.0,398,0,1,True
535,-459.0,572,0,1,True
536,-345.0,431,0,1,True
537,-1110.0,1352,0,1,True
538,-317.0,400,0,1,True
539,-378.0,468,0,1,True
540,-228.0,318,0,1,True
541,-437.0,546,0,1,True
542,-168.0,231,0,1,True
543,-556.0,681,0,1,True
