Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger, Status
329,-2313.0,984,150,1,True
330,-2758.0,1186,177,1,True
331,-988.0,397,68,1,True
332,-1644.0,630,115,1,True
333,-1504.0,616,101,1,True
334,-908.0,344,65,1,True
335,-1386.0,534,97,1,True
336,-1683.0,705,111,1,True
337,-996.0,396,69,1,True
338,-1675.0,742,106,1,True
339,-2314.0,913,158,1,True
340,-1272.0,483,90,1,True
341,-2244.0,960,145,1,True
342,-1941.0,819,127,1,True
343,-1435.0,565,99,1,True
344,-1373.0,548,94,1,True
345,-1477.0,571,103,1,True
346,-2202.0,972,139,1,True
347,-3085.0,1261,205,1,True
348,-1806.0,774,117,1,True
349,-1415.0,572,96,1,True
350,-769.0,268,58,1,True
351,-1011.0,375,73,1,True
352,-1556.0,695,98,1,True
353,-1255.0,565,79,1,True
354,-1055.0,410,74,1,True
355,-1181.0,464,82,1,True
356,-3299.0,1322,222,1,True
357,-1473.0,540,106,1,True
358,-918.0,336,67,1,True
359,-841.0,313,61,1,True
360,-1222.0,532,79,1,True
361,-1531.0,625,103,1,True
362,-2013.0,819,135,1,True
363,-2500.0,1171,150,1,True
364,-1399.0,592,92,1,True
365,-2347.0,937,159,1,True
366,-1262.0,599,76,1,True
367,-3287.0,1355,217,1,True
368,-1328.0,575,86,1,True
369,-2252.0,860,157,1,True
370,-1654.0,712,107,1,True
371,-1167.0,432,84,1,True
372,-1537.0,667,99,1,True
373,-1103.0,476,72,1,True
374,-1326.0,528,91,1,True
375,-1837.0,841,113,1,True
376,-1365.0,567,91,1,True
377,-2627.0,1073,175,1,True
378,-1067.0,440,72,1,True
379,-1094.0,431,76,1,True
380,-1048.0,403,74,1,True
381,-1331.0,542,90,1,True
382,-2364.0,1017,152,1,True
383,-2348.0,965,156,1,True
384,-912.0,384,61,1,True
385,-2390.0,980,159,1,True
386,-1896.0,774,127,1,True
387,-890.0,326,65,1,True
388,-2319.0,909,159,1,True
389,-297.0,165,17,1,True
390,-1338.0,567,88,1,True
391,-578.0,230,41,1,True
392,-2435.0,962,166,1,True
393,-2693.0,1094,180,1,True
394,-1284.0,531,86,1,True
395,-2321.0,902,160,1,True
396,-1400.0,575,94,1,True
397,-1474.0,649,94,1,True
398,-826.0,316,59,1,True
399,-2393.0,974,160,1,True
400,-2127.0,870,142,1,True
401,-1576.0,652,105,1,True
402,-1662.0,702,109,1,True
403,-378.0,147,28,1,True
404,-1563.0,630,106,1,True
405,-1322.0,551,88,1,True
406,-1091.0,455,73,1,True
407,-2559.0,1149,159,1,True
408,-2375.0,992,156,1,True
409,-2508.0,1053,164,1,True
410,-1871.0,794,122,1,True
411,-2372.0,944,161,1,True
412,-1282.0,502,89,1,True
413,-1101.0,456,74,1,True
414,-1353.0,528,94,1,True
415,-1278.0,516,87,1,True
416,-1521.0,579,107,1,True
417,-2685.0,1140,174,1,True
418,-1704.0,735,110,1,True
419,-3453.0,1500,217,0,False
420,-682.0,253,50,1,True
421,-1189.0,526,76,1,True
422,-1035.0,390,74,1,True
423,-2011.0,835,133,1,True
424,-1164.0,519,74,1,True
425,-1362.0,582,89,1,True
426,-1140.0,513,72,1,True
427,-2442.0,1005,162,1,True
428,-1731.0,780,108,1,True
429,-1753.0,748,114,1,True
430,-1251.0,480,88,1,True
431,-1169.0,407,87,1,True
432,-1040.0,431,70,1,True
433,-1098.0,426,77,1,True
434,-2774.0,1328,163,1,True
435,-1087.0,469,71,1,True
436,-1911.0,735,133,1,True
437,-1261.0,517,85,1,True
438,-792.0,291,58,1,True
439,-2485.0,1066,160,1,True
440,-2221.0,874,152,1,True
441,-457.0,208,30,1,True
442,-966.0,393,66,1,True
443,-2423.0,1022,158,1,True
444,-1614.0,726,101,1,True
445,-682.0,271,48,1,True
446,-1019.0,410,70,1,True
447,-2306.0,986,149,1,True
448,-2525.0,1124,158,1,True
449,-1228.0,484,85,1,True
450,-2124.0,849,144,1,True
451,-3245.0,1340,214,1,True
452,-2239.0,892,152,1,True
453,-3315.0,1365,219,1,True
454,-2210.0,881,150,1,True
455,-1407.0,546,98,1,True
456,-1302.0,513,90,1,True
457,-1377.0,570,92,1,True
458,-1614.0,654,109,1,True
459,-1502.0,587,104,1,True
460,-1101.0,456,74,1,True
461,-1145.0,437,81,1,True
462,-2370.0,978,157,1,True
463,-2582.0,1118,165,1,True
464,-2634.0,1188,163,1,True
465,-1761.0,648,126,1,True
466,-1575.0,642,106,1,True
467,-1262.0,482,89,1,True
468,-1292.0,539,86,1,True
469,-2419.0,991,161,1,True
470,-1337.0,512,94,1,True
471,-1584.0,687,102,1,True
472,-1003.0,457,63,1,True
473,-2316.0,942,155,1,True
474,-1020.0,393,72,1,True
475,-1196.0,533,76,1,True
476,-2290.0,916,155,1,True
477,-1428.0,558,99,1,True
478,-2402.0,974,161,1,True
479,-969.0,378,68,1,True
480,-1471.0,601,99,1,True
481,-2272.0,898,155,1,True
482,-973.0,409,65,1,True
483,-1408.0,646,87,1,True
484,-1785.0,726,120,1,True
485,-1443.0,537,103,1,True
486,-1620.0,660,109,1,True
487,-3339.0,1371,221,1,True
488,-2248.0,955,146,1,True
489,-2334.0,951,156,1,True
490,-2549.0,1076,166,1,True
491,-984.0,366,71,1,True
492,-1354.0,520,95,1,True
493,-2282.0,854,161,1,True
494,-2351.0,995,153,1,True
495,-3351.0,1356,224,1,True
496,-903.0,348,64,1,True
497,-1232.0,434,91,1,True
498,-1201.0,484,82,1,True
499,-1447.0,514,106,1,True
500,-1492.0,595,102,1,True
501,-1288.0,508,89,1,True
502,-1116.0,444,77,1,True
503,-1596.0,681,104,1,True
504,-2188.0,895,146,1,True
505,-2451.0,1050,158,1,True
506,-1436.0,584,97,1,True
507,-1246.0,457,90,1,True
508,-530.0,227,36,1,True
