Episode,TotalReward,Steps,Drop,Delivered,Rollbacks
523,-454.0,567,0,1,92
524,-357.0,471,0,1,93
525,-501.0,621,0,1,99
526,-384.0,485,0,1,80
527,-808.0,986,0,1,157
528,-699.0,865,0,1,145
529,-431.0,548,0,1,96
530,-266.0,363,0,1,76
531,-398.0,506,0,1,87
532,-383.0,501,0,1,97
533,-432.0,545,1,1,101
534,-315.0,403,0,1,67
535,-841.0,1000,0,0,159
536,-215.0,292,0,1,56
537,-537.0,675,0,1,117
538,-304.0,390,0,1,65
539,-273.0,363,0,1,69
540,-261.0,350,0,1,68
541,-657.0,814,0,1,136
542,-144.0,202,0,1,37
543,-837.0,1000,0,0,163
544,-308.0,399,0,1,70
545,-324.0,428,0,1,83
546,-276.0,363,0,1,66
547,-398.0,516,0,1,97
548,-771.0,940,0,1,148
549,-297.0,390,0,1,72
550,-769.0,942,0,1,152
551,-257.0,332,0,1,54
552,-840.0,1000,0,0,160
553,-682.0,839,0,1,136
554,-852.0,1000,0,0,148
555,-801.0,950,1,1,137
556,-836.0,1000,0,0,164
557,-438.0,534,0,1,75
558,-857.0,1000,0,0,143
559,-554.0,657,1,1,91
560,-382.0,486,0,1,83
561,-276.0,365,0,1,68
562,-295.0,385,0,1,69
563,-755.0,944,0,1,168
564,-465.0,582,0,1,96
565,-769.0,946,0,1,156
566,-712.0,870,0,1,137
567,-860.0,1000,0,0,140
568,-790.0,959,0,1,148
569,-421.0,528,0,1,86
570,-546.0,678,0,1,111
571,-672.0,834,0,1,141
572,-456.0,553,0,1,76
573,-467.0,590,0,1,102
574,-693.0,853,0,1,139
575,-384.0,479,0,1,74
576,-867.0,1000,0,0,133
577,-871.0,1000,1,0,138
578,-275.0,358,0,1,62
579,-843.0,1000,0,0,157
580,-645.0,788,0,1,122
581,-767.0,957,0,1,169
582,-726.0,892,0,1,145
583,-847.0,1000,0,0,153
584,-519.0,647,0,1,107
585,-502.0,626,0,1,103
586,-248.0,333,0,1,64
587,-452.0,573,0,1,100
588,-854.0,1000,1,0,155
589,-442.0,565,0,1,102
590,-376.0,460,0,1,63
591,-412.0,527,0,1,94
592,-853.0,1000,1,0,156
593,-537.0,679,0,1,121
594,-648.0,786,0,1,117
595,-361.0,462,0,1,80
596,-817.0,1000,0,0,183
597,-399.0,491,0,1,71
598,-831.0,1000,0,0,169
599,-704.0,877,0,1,152
600,-837.0,1000,0,0,163
601,-699.0,841,0,1,121
602,-851.0,1000,0,0,149
603,-743.0,888,0,1,124
604,-403.0,515,0,1,91
605,-839.0,1000,0,0,161
606,-714.0,867,0,1,132
607,-367.0,456,0,1,68
608,-849.0,1000,0,0,151
609,-845.0,1000,1,0,164
610,-415.0,524,0,1,88
611,-332.0,431,0,1,78
612,-773.0,955,0,1,161
613,-840.0,1000,0,0,160
614,-855.0,1000,0,0,145
615,-836.0,1000,0,0,164
616,-641.0,793,0,1,131
617,-846.0,1000,0,0,154
618,-851.0,1000,0,0,149
619,-839.0,1000,0,0,161
620,-667.0,828,0,1,140
621,-846.0,1000,0,0,154
622,-416.0,533,0,1,96
623,-312.0,403,0,1,70
624,-447.0,562,0,1,94
625,-859.0,1000,0,0,141
626,-819.0,999,0,1,159
627,-857.0,1000,0,0,143
628,-858.0,1000,0,0,142
629,-848.0,1000,0,0,152
630,-840.0,1000,0,0,160
631,-851.0,1000,0,0,149
632,-461.0,578,1,1,105
633,-298.0,397,0,1,78
634,-312.0,392,0,1,59
635,-271.0,357,0,1,65
636,-625.0,771,0,1,125
637,-547.0,662,0,1,94
638,-706.0,874,0,1,147
639,-450.0,562,0,1,91
640,-861.0,1000,1,0,148
641,-844.0,1000,1,0,165
642,-130.0,184,0,1,33
643,-498.0,606,0,1,87
644,-808.0,983,1,1,163
645,-851.0,1000,0,0,149
646,-847.0,1000,0,0,153
647,-585.0,727,0,1,121
648,-436.0,534,0,1,77
649,-523.0,643,0,1,99
650,-786.0,974,0,1,167
651,-477.0,594,0,1,96
652,-496.0,591,0,1,74
653,-497.0,621,0,1,103
654,-145.0,208,0,1,42
655,-497.0,615,0,1,97
656,-794.0,979,0,1,164
657,-456.0,576,0,1,99
658,-19.0,40,0,1,0
659,-838.0,1000,0,0,162
660,-843.0,1000,0,0,157
661,-312.0,393,0,1,60
662,-848.0,1000,0,0,152
663,-843.0,1000,0,0,157
664,-565.0,656,2,1,88
665,-802.0,991,0,1,168
666,-320.0,416,0,1,75
667,-839.0,1000,0,0,161
668,-288.0,371,0,1,62
669,-328.0,409,0,1,60
670,-847.0,1000,0,0,153
671,-496.0,619,0,1,102
672,-306.0,388,0,1,61
673,-404.0,508,0,1,83
674,-840.0,1000,0,0,160
675,-849.0,1000,1,0,160
676,-332.0,419,0,1,66
677,-791.0,974,0,1,162
678,-422.0,538,0,1,95
679,-629.0,786,0,1,136
680,-781.0,952,0,1,150
681,-237.0,318,0,1,60
682,-213.0,283,0,1,49
683,-313.0,417,0,1,83
684,-455.0,573,0,1,97
685,-475.0,599,0,1,103
686,-460.0,579,0,1,98
687,-841.0,1000,0,0,159
688,-443.0,565,0,1,101
689,-687.0,835,1,1,136
690,-316.0,409,0,1,72
691,-92.0,135,0,1,22
692,-627.0,763,0,1,115
693,-460.0,569,0,1,88
694,-731.0,903,0,1,151
695,-462.0,585,0,1,102
696,-364.0,469,0,1,84
697,-392.0,493,0,1,80
698,-738.0,903,0,1,144
699,-392.0,511,0,1,98
700,-271.0,358,0,1,66
701,-440.0,566,0,1,105
702,-621.0,755,0,1,113
703,-308.0,414,0,1,85
704,-449.0,568,0,1,98
705,-491.0,603,0,1,91
706,-236.0,324,0,1,67
707,-747.0,925,0,1,157
708,-313.0,414,0,1,80
709,-776.0,960,0,1,163
710,-839.0,1000,0,0,161
711,-812.0,980,0,1,147
712,-674.0,804,1,1,118
713,-793.0,967,0,1,153
714,-413.0,506,0,1,72
715,-839.0,1000,0,0,161
716,-870.0,1000,0,0,130
717,-840.0,1000,0,0,160
718,-695.0,830,0,1,114
719,-244.0,331,0,1,66
720,-293.0,380,0,1,66
721,-845.0,1000,0,0,155
722,-841.0,1000,0,0,159
723,-478.0,596,0,1,97
724,-591.0,730,0,1,118
725,-845.0,1000,0,0,155
726,-866.0,1000,1,0,143
727,-847.0,1000,0,0,153
728,-629.0,774,0,1,124
729,-206.0,278,0,1,51
730,-358.0,448,0,1,69
731,-176.0,237,0,1,40
732,-338.0,448,0,1,89
733,-722.0,902,0,1,159
734,-225.0,300,0,1,54
735,-760.0,936,0,1,155
736,-853.0,1000,0,0,147
737,-368.0,469,0,1,80
738,-297.0,393,0,1,75
739,-858.0,1000,0,0,142
740,-271.0,360,0,1,68
741,-303.0,400,0,1,76
742,-357.0,467,0,1,89
743,-211.0,283,0,1,51
744,-197.0,264,0,1,46
745,-568.0,692,0,1,103
746,-324.0,411,0,1,66
747,-317.0,398,0,1,60
748,-267.0,343,0,1,55
749,-626.0,754,0,1,107
750,-238.0,314,0,1,55
751,-625.0,757,0,1,111
752,-600.0,758,0,1,137
753,-146.0,206,0,1,39
754,-736.0,915,0,1,158
755,-381.0,486,0,1,84
756,-409.0,519,0,1,89
757,-318.0,413,0,1,74
758,-856.0,1000,0,0,144
759,-482.0,601,0,1,98
760,-500.0,617,1,1,105
761,-448.0,566,0,1,97
762,-325.0,430,0,1,84
763,-109.0,156,0,1,26
764,-417.0,537,0,1,99
765,-796.0,958,0,1,141
766,-398.0,516,0,1,97
767,-760.0,909,0,1,128
768,-568.0,696,0,1,107
769,-764.0,948,0,1,163
770,-784.0,953,0,1,148
771,-393.0,499,0,1,85
772,-394.0,510,0,1,95
773,-223.0,309,0,1,65
774,-765.0,952,0,1,166
775,-522.0,637,0,1,94
776,-291.0,376,0,1,64
777,-566.0,692,0,1,105
778,-726.0,899,0,1,152
779,-238.0,322,0,1,63
780,-746.0,923,0,1,156
781,-377.0,491,0,1,93
782,-460.0,575,0,1,94
783,-529.0,651,0,1,101
784,-857.0,1000,0,0,143
785,-213.0,288,0,1,54
786,-645.0,769,0,1,103
787,-851.0,1000,1,0,158
788,-795.0,962,0,1,146
789,-857.0,1000,0,0,143
790,-394.0,505,0,1,90
791,-491.0,615,0,1,103
792,-846.0,1000,0,0,154
793,-255.0,341,0,1,65
794,-364.0,473,0,1,88
795,-442.0,563,0,1,100
796,-278.0,364,0,1,65
797,-344.0,430,0,1,65
798,-449.0,554,0,1,84
799,-299.0,391,0,1,71
800,-816.0,1000,0,0,184
801,-393.0,501,0,1,87
802,-868.0,1000,1,0,141
803,-853.0,1000,0,0,147
804,-226.0,304,0,1,57
805,-759.0,935,0,1,155
806,-314.0,400,0,1,65
807,-298.0,382,0,1,63
808,-518.0,636,0,1,97
809,-844.0,1000,0,0,156
810,-514.0,641,0,1,106
811,-380.0,481,0,1,80
812,-423.0,514,0,1,70
813,-837.0,1000,0,0,163
814,-360.0,460,0,1,79
815,-731.0,913,0,1,161
816,-583.0,712,0,1,108
817,-846.0,1000,0,0,154
818,-431.0,540,0,1,88
819,-483.0,576,0,1,72
820,-857.0,1000,0,0,143
821,-484.0,608,0,1,103
822,-850.0,1000,0,0,150
823,-744.0,920,0,1,155
824,-420.0,536,0,1,95
825,-193.0,257,0,1,43
826,-320.0,415,0,1,74
827,-258.0,340,0,1,61
828,-108.0,145,0,1,16
829,-271.0,349,0,1,57
830,-344.0,443,0,1,78
831,-504.0,595,0,1,70
832,-483.0,599,0,1,95
833,-841.0,1000,0,0,159
834,-753.0,929,0,1,155
835,-846.0,1000,0,0,154
836,-374.0,485,0,1,90
837,-204.0,276,0,1,51
838,-252.0,331,0,1,58
839,-842.0,1000,0,0,158
840,-391.0,489,0,1,77
841,-261.0,343,0,1,61
842,-193.0,258,0,1,44
843,-360.0,468,0,1,87
844,-534.0,651,0,1,96
845,-734.0,907,0,1,152
846,-851.0,1000,0,0,149
847,-398.0,504,0,1,85
848,-369.0,477,0,1,87
849,-273.0,358,0,1,64
850,-840.0,1000,0,0,160
851,-341.0,434,0,1,72
852,-846.0,1000,0,0,154
853,-836.0,1000,0,0,164
854,-840.0,1000,0,0,160
855,-877.0,1000,1,0,132
856,-358.0,464,0,1,85
857,-537.0,655,0,1,97
858,-262.0,352,0,1,69
859,-869.0,1000,2,0,149
860,-350.0,443,0,1,72
861,-508.0,640,0,1,111
862,-332.0,428,0,1,75
863,-366.0,455,0,1,68
864,-863.0,1000,0,0,137
865,-246.0,320,0,1,53
866,-691.0,867,0,1,155
867,-851.0,1000,0,0,149
868,-294.0,380,0,1,65
869,-375.0,479,0,1,83
870,-336.0,438,0,1,81
871,-226.0,309,0,1,62
872,-561.0,708,0,1,126
873,-204.0,277,0,1,52
874,-840.0,1000,0,0,160
875,-234.0,314,0,1,59
876,-324.0,410,0,1,65
877,-811.0,988,0,1,156
878,-362.0,454,0,1,71
879,-733.0,911,0,1,157
880,-860.0,1000,0,0,140
881,-190.0,253,0,1,42
